Path centered at: WORLD FRAME [0.0027237, 0.0027237], DRONE FRAME [-2.69249,-3.76655]
-----PARAMETERS-----
n_spiral (max) = 2
layer_height = 0.1
--------------------
Starting at 3.06717m
Ending at 3.81836m
Depth = 0.751185m (40%)
Layer 0 radius: 0.122408
Layer 1 radius: 0.317337
Layer 2 radius: 0.420046
Layer 3 radius: 0.444376
Layer 4 radius: 0.476013
Layer 5 radius: 0.509113
Layer 6 radius: 0.536114
Layer 7 radius: 0.564295
0 [-2.49249, -3.76655, 3.06717]
1 [-2.49413, -3.79213, 3.06717]
2 [-2.49903, -3.81728, 3.06717]
3 [-2.5071, -3.8416, 3.06717]
4 [-2.51822, -3.86469, 3.06717]
5 [-2.53221, -3.88617, 3.06717]
6 [-2.54882, -3.90569, 3.06717]
7 [-2.56779, -3.92292, 3.06717]
8 [-2.58881, -3.93758, 3.06717]
9 [-2.61153, -3.94943, 3.06717]
10 [-2.63558, -3.95828, 3.06717]
11 [-2.66057, -3.96399, 3.06717]
12 [-2.68608, -3.96645, 3.06717]
13 [-2.71169, -3.96563, 3.06717]
14 [-2.73699, -3.96154, 3.06717]
15 [-2.76156, -3.95424, 3.06717]
16 [-2.785, -3.94387, 3.06717]
17 [-2.80691, -3.93058, 3.06717]
18 [-2.82695, -3.91461, 3.06717]
19 [-2.84478, -3.8962, 3.06717]
20 [-2.86011, -3.87566, 3.06717]
21 [-2.87268, -3.85333, 3.06717]
22 [-2.8823, -3.82957, 3.06717]
23 [-2.8888, -3.80478, 3.06717]
24 [-2.89208, -3.77936, 3.06717]
25 [-2.89208, -3.75374, 3.06717]
26 [-2.8888, -3.72832, 3.06717]
27 [-2.8823, -3.70353, 3.06717]
28 [-2.87268, -3.67977, 3.06717]
29 [-2.86011, -3.65744, 3.06717]
30 [-2.84478, -3.6369, 3.06717]
31 [-2.82695, -3.61849, 3.06717]
32 [-2.80691, -3.60252, 3.06717]
33 [-2.785, -3.58923, 3.06717]
34 [-2.76156, -3.57886, 3.06717]
35 [-2.73699, -3.57156, 3.06717]
36 [-2.71169, -3.56747, 3.06717]
37 [-2.68608, -3.56665, 3.06717]
38 [-2.66057, -3.56911, 3.06717]
39 [-2.63558, -3.57482, 3.06717]
40 [-2.61153, -3.58367, 3.06717]
41 [-2.58881, -3.59552, 3.06717]
42 [-2.56779, -3.61018, 3.06717]
43 [-2.54882, -3.62741, 3.06717]
44 [-2.53221, -3.64693, 3.06717]
45 [-2.51822, -3.66841, 3.06717]
46 [-2.5071, -3.6915, 3.06717]
47 [-2.49903, -3.71582, 3.06717]
48 [-2.49413, -3.74097, 3.06717]
49 [-2.49249, -3.76655, 3.06717]
0 [-2.37515, -3.76655, 3.16717]
1 [-2.37776, -3.80713, 3.16717]
2 [-2.38553, -3.84704, 3.16717]
3 [-2.39834, -3.88564, 3.16717]
4 [-2.41599, -3.92227, 3.16717]
5 [-2.43817, -3.95635, 3.16717]
6 [-2.46453, -3.98732, 3.16717]
7 [-2.49463, -4.01465, 3.16717]
8 [-2.52798, -4.03792, 3.16717]
9 [-2.56404, -4.05673, 3.16717]
10 [-2.6022, -4.07077, 3.16717]
11 [-2.64184, -4.07982, 3.16717]
12 [-2.68232, -4.08372, 3.16717]
13 [-2.72296, -4.08242, 3.16717]
14 [-2.7631, -4.07593, 3.16717]
15 [-2.80209, -4.06436, 3.16717]
16 [-2.83927, -4.0479, 3.16717]
17 [-2.87404, -4.02682, 3.16717]
18 [-2.90583, -4.00147, 3.16717]
19 [-2.93412, -3.97226, 3.16717]
20 [-2.95844, -3.93967, 3.16717]
21 [-2.9784, -3.90424, 3.16717]
22 [-2.99366, -3.86655, 3.16717]
23 [-3.00397, -3.82721, 3.16717]
24 [-3.00917, -3.78688, 3.16717]
25 [-3.00917, -3.74622, 3.16717]
26 [-3.00397, -3.70589, 3.16717]
27 [-2.99366, -3.66655, 3.16717]
28 [-2.9784, -3.62886, 3.16717]
29 [-2.95844, -3.59343, 3.16717]
30 [-2.93412, -3.56084, 3.16717]
31 [-2.90583, -3.53163, 3.16717]
32 [-2.87404, -3.50628, 3.16717]
33 [-2.83927, -3.4852, 3.16717]
34 [-2.80209, -3.46874, 3.16717]
35 [-2.7631, -3.45717, 3.16717]
36 [-2.72296, -3.45068, 3.16717]
37 [-2.68232, -3.44938, 3.16717]
38 [-2.64184, -3.45328, 3.16717]
39 [-2.6022, -3.46233, 3.16717]
40 [-2.56403, -3.47637, 3.16717]
41 [-2.52798, -3.49518, 3.16717]
42 [-2.49463, -3.51845, 3.16717]
43 [-2.46453, -3.54578, 3.16717]
44 [-2.43817, -3.57675, 3.16717]
45 [-2.41599, -3.61083, 3.16717]
46 [-2.39834, -3.64746, 3.16717]
47 [-2.38553, -3.68606, 3.16717]
48 [-2.37776, -3.72597, 3.16717]
49 [-2.37515, -3.76655, 3.16717]
50 [-2.37515, -3.76655, 3.16717]
51 [-2.37998, -3.80603, 3.16717]
52 [-2.38967, -3.8443, 3.16717]
53 [-2.40398, -3.88078, 3.16717]
54 [-2.42263, -3.91491, 3.16717]
55 [-2.44525, -3.94618, 3.16717]
56 [-2.47142, -3.97414, 3.16717]
57 [-2.50068, -3.99841, 3.16717]
58 [-2.53251, -4.01864, 3.16717]
59 [-2.56637, -4.03457, 3.16717]
60 [-2.60168, -4.04604, 3.16717]
61 [-2.63786, -4.05291, 3.16717]
62 [-2.67433, -4.05516, 3.16717]
63 [-2.7105, -4.05281, 3.16717]
64 [-2.74579, -4.04599, 3.16717]
65 [-2.77967, -4.03488, 3.16717]
66 [-2.81162, -4.01971, 3.16717]
67 [-2.84115, -4.0008, 3.16717]
68 [-2.86784, -3.97851, 3.16717]
69 [-2.89131, -3.95326, 3.16717]
70 [-2.91125, -3.92549, 3.16717]
71 [-2.92739, -3.89569, 3.16717]
72 [-2.93954, -3.86436, 3.16717]
73 [-2.94758, -3.83205, 3.16717]
74 [-2.95145, -3.79926, 3.16717]
75 [-2.95116, -3.76655, 3.16717]
76 [-2.94679, -3.73442, 3.16717]
77 [-2.93848, -3.70339, 3.16717]
78 [-2.92645, -3.67392, 3.16717]
79 [-2.91094, -3.64646, 3.16717]
80 [-2.89226, -3.62141, 3.16717]
81 [-2.87078, -3.59912, 3.16717]
82 [-2.8469, -3.5799, 3.16717]
83 [-2.82103, -3.564, 3.16717]
84 [-2.79363, -3.55161, 3.16717]
85 [-2.76517, -3.54286, 3.16717]
86 [-2.73612, -3.53782, 3.16717]
87 [-2.70696, -3.5365, 3.16717]
88 [-2.67816, -3.53884, 3.16717]
89 [-2.65017, -3.54474, 3.16717]
90 [-2.62343, -3.55402, 3.16717]
91 [-2.59834, -3.56647, 3.16717]
92 [-2.57526, -3.58183, 3.16717]
93 [-2.55453, -3.59979, 3.16717]
94 [-2.53643, -3.62, 3.16717]
95 [-2.52119, -3.6421, 3.16717]
96 [-2.509, -3.66568, 3.16717]
97 [-2.49999, -3.69033, 3.16717]
98 [-2.49423, -3.71564, 3.16717]
99 [-2.49174, -3.74119, 3.16717]
0 [-2.27244, -3.76655, 3.26717]
1 [-2.27589, -3.82026, 3.26717]
2 [-2.28618, -3.8731, 3.26717]
3 [-2.30314, -3.92418, 3.26717]
4 [-2.32649, -3.97267, 3.26717]
5 [-2.35586, -4.01778, 3.26717]
6 [-2.39075, -4.05877, 3.26717]
7 [-2.43059, -4.09495, 3.26717]
8 [-2.47474, -4.12575, 3.26717]
9 [-2.52246, -4.15065, 3.26717]
10 [-2.57297, -4.16923, 3.26717]
11 [-2.62545, -4.18121, 3.26717]
12 [-2.67902, -4.18638, 3.26717]
13 [-2.73282, -4.18465, 3.26717]
14 [-2.78596, -4.17606, 3.26717]
15 [-2.83756, -4.16075, 3.26717]
16 [-2.88678, -4.13896, 3.26717]
17 [-2.9328, -4.11106, 3.26717]
18 [-2.97489, -4.0775, 3.26717]
19 [-3.01233, -4.03884, 3.26717]
20 [-3.04452, -3.9957, 3.26717]
21 [-3.07094, -3.9488, 3.26717]
22 [-3.09114, -3.89891, 3.26717]
23 [-3.10479, -3.84685, 3.26717]
24 [-3.11167, -3.79346, 3.26717]
25 [-3.11167, -3.73964, 3.26717]
26 [-3.10479, -3.68625, 3.26717]
27 [-3.09114, -3.63419, 3.26717]
28 [-3.07094, -3.5843, 3.26717]
29 [-3.04452, -3.5374, 3.26717]
30 [-3.01233, -3.49426, 3.26717]
31 [-2.97489, -3.4556, 3.26717]
32 [-2.9328, -3.42204, 3.26717]
33 [-2.88678, -3.39414, 3.26717]
34 [-2.83756, -3.37235, 3.26717]
35 [-2.78596, -3.35704, 3.26717]
36 [-2.73282, -3.34844, 3.26717]
37 [-2.67902, -3.34672, 3.26717]
38 [-2.62545, -3.35189, 3.26717]
39 [-2.57297, -3.36387, 3.26717]
40 [-2.52246, -3.38245, 3.26717]
41 [-2.47474, -3.40735, 3.26717]
42 [-2.43059, -3.43814, 3.26717]
43 [-2.39075, -3.47433, 3.26717]
44 [-2.35586, -3.51532, 3.26717]
45 [-2.32649, -3.56043, 3.26717]
46 [-2.30314, -3.60892, 3.26717]
47 [-2.28618, -3.66, 3.26717]
48 [-2.27589, -3.71284, 3.26717]
49 [-2.27244, -3.76655, 3.26717]
50 [-2.27244, -3.76655, 3.26717]
51 [-2.2899, -3.86992, 3.26717]
52 [-2.33211, -3.96467, 3.26717]
53 [-2.39591, -4.04505, 3.26717]
54 [-2.47685, -4.10634, 3.26717]
55 [-2.56949, -4.14511, 3.26717]
56 [-2.66777, -4.15941, 3.26717]
