Path centered at: WORLD FRAME [0.00265325, 0.00265325], DRONE FRAME [-2.66236,-3.76662]
-----PARAMETERS-----
n_spiral (max) = 4
layer_height = 0.1
--------------------
Starting at 3.00135m
Ending at 3.62295m
Depth = 0.621592m (40%)
Layer 0 radius: 0.0984958
Layer 1 radius: 0.294288
Layer 2 radius: 0.394502
Layer 3 radius: 0.424395
Layer 4 radius: 0.455249
Layer 5 radius: 0.480686
Layer 6 radius: 0.513947
0 [-2.46236, -3.76662, 3.00135]
1 [-2.464, -3.7922, 3.00135]
2 [-2.4689, -3.81735, 3.00135]
3 [-2.47698, -3.84167, 3.00135]
4 [-2.4881, -3.86476, 3.00135]
5 [-2.50208, -3.88624, 3.00135]
6 [-2.51869, -3.90576, 3.00135]
7 [-2.53766, -3.92299, 3.00135]
8 [-2.55868, -3.93765, 3.00135]
9 [-2.5814, -3.9495, 3.00135]
10 [-2.60545, -3.95835, 3.00135]
11 [-2.63044, -3.96406, 3.00135]
12 [-2.65595, -3.96652, 3.00135]
13 [-2.68156, -3.9657, 3.00135]
14 [-2.70686, -3.96161, 3.00135]
15 [-2.73143, -3.95431, 3.00135]
16 [-2.75487, -3.94394, 3.00135]
17 [-2.77678, -3.93065, 3.00135]
18 [-2.79682, -3.91468, 3.00135]
19 [-2.81465, -3.89627, 3.00135]
20 [-2.82998, -3.87573, 3.00135]
21 [-2.84255, -3.8534, 3.00135]
22 [-2.85217, -3.82964, 3.00135]
23 [-2.85867, -3.80485, 3.00135]
24 [-2.86195, -3.77943, 3.00135]
25 [-2.86195, -3.75381, 3.00135]
26 [-2.85867, -3.72839, 3.00135]
27 [-2.85217, -3.7036, 3.00135]
28 [-2.84255, -3.67984, 3.00135]
29 [-2.82998, -3.65751, 3.00135]
30 [-2.81465, -3.63697, 3.00135]
31 [-2.79682, -3.61856, 3.00135]
32 [-2.77678, -3.60259, 3.00135]
33 [-2.75487, -3.5893, 3.00135]
34 [-2.73143, -3.57893, 3.00135]
35 [-2.70686, -3.57163, 3.00135]
36 [-2.68156, -3.56754, 3.00135]
37 [-2.65595, -3.56672, 3.00135]
38 [-2.63044, -3.56918, 3.00135]
39 [-2.60545, -3.57489, 3.00135]
40 [-2.5814, -3.58374, 3.00135]
41 [-2.55868, -3.59559, 3.00135]
42 [-2.53766, -3.61025, 3.00135]
43 [-2.51869, -3.62748, 3.00135]
44 [-2.50208, -3.647, 3.00135]
45 [-2.4881, -3.66848, 3.00135]
46 [-2.47698, -3.69157, 3.00135]
47 [-2.4689, -3.71589, 3.00135]
48 [-2.464, -3.74104, 3.00135]
49 [-2.46236, -3.76662, 3.00135]
0 [-2.36807, -3.76662, 3.10135]
1 [-2.37049, -3.80425, 3.10135]
2 [-2.3777, -3.84127, 3.10135]
3 [-2.38958, -3.87706, 3.10135]
4 [-2.40594, -3.91103, 3.10135]
5 [-2.42651, -3.94264, 3.10135]
6 [-2.45096, -3.97135, 3.10135]
7 [-2.47887, -3.9967, 3.10135]
8 [-2.5098, -4.01828, 3.10135]
9 [-2.54324, -4.03572, 3.10135]
10 [-2.57863, -4.04874, 3.10135]
11 [-2.61539, -4.05714, 3.10135]
12 [-2.65293, -4.06076, 3.10135]
13 [-2.69062, -4.05955, 3.10135]
14 [-2.72785, -4.05353, 3.10135]
15 [-2.764, -4.0428, 3.10135]
16 [-2.79848, -4.02754, 3.10135]
17 [-2.83073, -4.00799, 3.10135]
18 [-2.86021, -3.98447, 3.10135]
19 [-2.88644, -3.95739, 3.10135]
20 [-2.909, -3.92716, 3.10135]
21 [-2.9275, -3.89431, 3.10135]
22 [-2.94166, -3.85935, 3.10135]
23 [-2.95122, -3.82288, 3.10135]
24 [-2.95604, -3.78548, 3.10135]
25 [-2.95604, -3.74777, 3.10135]
26 [-2.95122, -3.71036, 3.10135]
27 [-2.94166, -3.67389, 3.10135]
28 [-2.9275, -3.63893, 3.10135]
29 [-2.909, -3.60608, 3.10135]
30 [-2.88644, -3.57585, 3.10135]
31 [-2.86021, -3.54877, 3.10135]
32 [-2.83073, -3.52525, 3.10135]
33 [-2.79848, -3.5057, 3.10135]
34 [-2.764, -3.49044, 3.10135]
35 [-2.72784, -3.47971, 3.10135]
36 [-2.69062, -3.47369, 3.10135]
37 [-2.65293, -3.47248, 3.10135]
38 [-2.61539, -3.4761, 3.10135]
39 [-2.57863, -3.4845, 3.10135]
40 [-2.54324, -3.49752, 3.10135]
41 [-2.5098, -3.51496, 3.10135]
42 [-2.47887, -3.53654, 3.10135]
43 [-2.45096, -3.56189, 3.10135]
44 [-2.42651, -3.5906, 3.10135]
45 [-2.40594, -3.62221, 3.10135]
46 [-2.38958, -3.65618, 3.10135]
47 [-2.3777, -3.69197, 3.10135]
48 [-2.37049, -3.72899, 3.10135]
49 [-2.36807, -3.76662, 3.10135]
0 [-2.26786, -3.76662, 3.20135]
1 [-2.2711, -3.81707, 3.20135]
2 [-2.28076, -3.86669, 3.20135]
3 [-2.29669, -3.91466, 3.20135]
4 [-2.31862, -3.96021, 3.20135]
5 [-2.3462, -4.00258, 3.20135]
6 [-2.37897, -4.04107, 3.20135]
7 [-2.41639, -4.07505, 3.20135]
8 [-2.45785, -4.10398, 3.20135]
9 [-2.50267, -4.12736, 3.20135]
10 [-2.55011, -4.14482, 3.20135]
11 [-2.5994, -4.15607, 3.20135]
12 [-2.64972, -4.16092, 3.20135]
13 [-2.70024, -4.1593, 3.20135]
14 [-2.75014, -4.15123, 3.20135]
15 [-2.79861, -4.13685, 3.20135]
16 [-2.84483, -4.11639, 3.20135]
17 [-2.88806, -4.09018, 3.20135]
18 [-2.92758, -4.05866, 3.20135]
19 [-2.96275, -4.02235, 3.20135]
20 [-2.99299, -3.98183, 3.20135]
21 [-3.01779, -3.93779, 3.20135]
22 [-3.03676, -3.89093, 3.20135]
23 [-3.04959, -3.84203, 3.20135]
24 [-3.05605, -3.7919, 3.20135]
25 [-3.05605, -3.74134, 3.20135]
26 [-3.04959, -3.69121, 3.20135]
27 [-3.03676, -3.64231, 3.20135]
28 [-3.01779, -3.59545, 3.20135]
29 [-2.99299, -3.55141, 3.20135]
30 [-2.96275, -3.51089, 3.20135]
31 [-2.92758, -3.47458, 3.20135]
32 [-2.88806, -3.44306, 3.20135]
33 [-2.84483, -3.41685, 3.20135]
34 [-2.79861, -3.39639, 3.20135]
35 [-2.75014, -3.38201, 3.20135]
36 [-2.70024, -3.37394, 3.20135]
37 [-2.64972, -3.37232, 3.20135]
38 [-2.5994, -3.37717, 3.20135]
39 [-2.55011, -3.38842, 3.20135]
40 [-2.50267, -3.40588, 3.20135]
41 [-2.45785, -3.42926, 3.20135]
42 [-2.41639, -3.45819, 3.20135]
43 [-2.37897, -3.49217, 3.20135]
44 [-2.3462, -3.53066, 3.20135]
45 [-2.31862, -3.57303, 3.20135]
46 [-2.29669, -3.61858, 3.20135]
47 [-2.28076, -3.66655, 3.20135]
48 [-2.2711, -3.71617, 3.20135]
49 [-2.26786, -3.76662, 3.20135]
0 [-2.23797, -3.76662, 3.30135]
1 [-2.24145, -3.82089, 3.30135]
2 [-2.25184, -3.87427, 3.30135]
3 [-2.26898, -3.92588, 3.30135]
4 [-2.29258, -3.97488, 3.30135]
5 [-2.32224, -4.02046, 3.30135]
6 [-2.3575, -4.06186, 3.30135]
7 [-2.39775, -4.09843, 3.30135]
8 [-2.44236, -4.12954, 3.30135]
9 [-2.49057, -4.15469, 3.30135]
10 [-2.54161, -4.17347, 3.30135]
11 [-2.59463, -4.18558, 3.30135]
12 [-2.64876, -4.1908, 3.30135]
13 [-2.70311, -4.18905, 3.30135]
14 [-2.7568, -4.18037, 3.30135]
15 [-2.80893, -4.1649, 3.30135]
16 [-2.85866, -4.14289, 3.30135]
17 [-2.90516, -4.1147, 3.30135]
18 [-2.94768, -4.08079, 3.30135]
19 [-2.98551, -4.04173, 3.30135]
20 [-3.01804, -3.99814, 3.30135]
21 [-3.04473, -3.95076, 3.30135]
22 [-3.06513, -3.90035, 3.30135]
23 [-3.07893, -3.84775, 3.30135]
24 [-3.08588, -3.79381, 3.30135]
25 [-3.08588, -3.73943, 3.30135]
26 [-3.07893, -3.68549, 3.30135]
27 [-3.06513, -3.63289, 3.30135]
28 [-3.04473, -3.58248, 3.30135]
29 [-3.01804, -3.5351, 3.30135]
30 [-2.98551, -3.49152, 3.30135]
31 [-2.94768, -3.45245, 3.30135]
32 [-2.90516, -3.41854, 3.30135]
33 [-2.85866, -3.39035, 3.30135]
34 [-2.80893, -3.36834, 3.30135]
35 [-2.7568, -3.35287, 3.30135]
36 [-2.70311, -3.34419, 3.30135]
37 [-2.64876, -3.34244, 3.30135]
38 [-2.59463, -3.34767, 3.30135]
39 [-2.54161, -3.35977, 3.30135]
40 [-2.49057, -3.37855, 3.30135]
41 [-2.44236, -3.4037, 3.30135]
42 [-2.39775, -3.43481, 3.30135]
43 [-2.3575, -3.47138, 3.30135]
44 [-2.32224, -3.51279, 3.30135]
45 [-2.29258, -3.55836, 3.30135]
46 [-2.26898, -3.60736, 3.30135]
47 [-2.25184, -3.65897, 3.30135]
48 [-2.24145, -3.71235, 3.30135]
49 [-2.23797, -3.76662, 3.30135]
50 [-2.23797, -3.76662, 3.30135]
51 [-2.25565, -3.87105, 3.30135]
52 [-2.29833, -3.96675, 3.30135]
53 [-2.3628, -4.04792, 3.30135]
54 [-2.44458, -4.10979, 3.30135]
55 [-2.53815, -4.1489, 3.30135]
56 [-2.6374, -4.1633, 3.30135]
57 [-2.736, -4.15264, 3.30135]
