Path centered at: -2.57362, -3.86106
Layer 0 radius: 0.147891
Layer 1 radius: 0.348327
Layer 2 radius: 0.441983
Layer 3 radius: 0.473598
Layer 4 radius: 0.499411
Layer 5 radius: 0.533134
Layer 6 radius: 0.56108
Layer 7 radius: 0.588967
13 [-2.90341, -4.31498, 3.74663]
14 [-2.747, -4.39468, 3.74663]
15 [-2.57362, -4.42214, 3.74663]
16 [-2.40024, -4.39468, 3.74663]
17 [-2.24383, -4.31498, 3.74663]
18 [-2.1197, -4.19085, 3.74663]
19 [-2.04, -4.03444, 3.74663]
20 [-2.01254, -3.86106, 3.74663]
0 [-1.98465, -3.86106, 3.84663]
1 [-2.01348, -3.67906, 3.84663]
2 [-2.09714, -3.51487, 3.84663]
3 [-2.22743, -3.38457, 3.84663]
4 [-2.39162, -3.30092, 3.84663]
5 [-2.57362, -3.27209, 3.84663]
6 [-2.75562, -3.30092, 3.84663]
7 [-2.91981, -3.38457, 3.84663]
8 [-3.0501, -3.51487, 3.84663]
9 [-3.13376, -3.67906, 3.84663]
10 [-3.16259, -3.86106, 3.84663]
11 [-3.13376, -4.04306, 3.84663]
12 [-3.0501, -4.20724, 3.84663]
13 [-2.91981, -4.33754, 3.84663]
14 [-2.75562, -4.4212, 3.84663]
15 [-2.57362, -4.45002, 3.84663]
16 [-2.39162, -4.4212, 3.84663]
17 [-2.22743, -4.33754, 3.84663]
18 [-2.09714, -4.20724, 3.84663]
19 [-2.01348, -4.04306, 3.84663]
20 [-1.98465, -3.86106, 3.84663]
