x,y,z
-2.54422,-3.71368,-2.54422
-2.54422,-3.71368,-2.54422
-2.53667,-3.7248,-2.53667
-2.53667,-3.74704,-2.53667
-2.52157,-3.76927,-2.52157
-2.51402,-3.78039,-2.51402
-2.50647,-3.80263,-2.50647
-2.50647,-3.80263,-2.50647
-2.49892,-3.79151,-2.49892
-2.49892,-3.78039,-2.49892
-2.49137,-3.75815,-2.49137
-2.48382,-3.7248,-2.48382
-2.47627,-3.69144,-2.47627
-2.45362,-3.64697,-2.45362
-2.43852,-3.60249,-2.43852
-2.41588,-3.5469,-2.41588
-2.39323,-3.4913,-2.39323
-2.36303,-3.43571,-2.36303
-2.34038,-3.369,-2.34038
-2.31773,-3.3134,-2.31773
-2.30263,-3.24669,-2.30263
-2.28753,-3.17998,-2.28753
-2.27243,-3.12438,-2.27243
-2.26488,-3.04655,-2.26488
-2.25733,-2.9576,-2.25733
-2.25733,-2.89089,-2.25733
-2.25733,-2.83529,-2.25733
-2.25733,-2.7797,-2.25733
-2.26488,-2.73522,-2.26488
-2.27998,-2.69075,-2.27998
-2.29508,-2.65739,-2.29508
-2.31018,-2.62404,-2.31018
-2.33283,-2.59068,-2.33283
-2.35548,-2.56844,-2.35548
-2.37813,-2.5462,-2.37813
-2.40833,-2.51285,-2.40833
-2.43097,-2.49061,-2.43097
-2.45362,-2.46837,-2.45362
-2.48382,-2.46837,-2.48382
-2.51402,-2.45725,-2.51402
-2.53667,-2.46837,-2.53667
-2.56687,-2.46837,-2.56687
-2.58952,-2.47949,-2.58952
-2.61216,-2.47949,-2.61216
-2.63481,-2.49061,-2.63481
-2.65746,-2.50173,-2.65746
-2.68766,-2.51285,-2.68766
-2.71031,-2.52397,-2.71031
-2.72541,-2.5462,-2.72541
-2.74051,-2.57956,-2.74051
-2.75561,-2.6018,-2.75561
-2.76316,-2.63515,-2.76316
-2.77071,-2.65739,-2.77071
-2.77826,-2.69075,-2.77826
-2.77826,-2.72411,-2.77826
-2.78581,-2.74634,-2.78581
-2.79336,-2.7797,-2.79336
-2.79336,-2.81306,-2.79336
-2.79336,-2.84641,-2.79336
-2.79336,-2.87977,-2.79336
-2.79336,-2.92424,-2.79336
-2.79336,-2.96872,-2.79336
-2.78581,-3.00208,-2.78581
-2.77826,-3.03543,-2.77826
-2.76316,-3.07991,-2.76316
-2.74806,-3.12438,-2.74806
-2.72541,-3.16886,-2.72541
-2.71031,-3.20221,-2.71031
-2.69521,-3.23557,-2.69521
-2.68011,-3.26893,-2.68011
-2.65746,-3.30228,-2.65746
-2.63481,-3.32452,-2.63481
-2.61216,-3.34676,-2.61216
-2.58197,-3.38011,-2.58197
-2.55932,-3.40235,-2.55932
-2.53667,-3.42459,-2.53667
-2.51402,-3.44683,-2.51402
-2.49137,-3.45795,-2.49137
-2.46872,-3.46906,-2.46872
-2.43852,-3.48018,-2.43852
-2.42342,-3.48018,-2.42342
-2.40078,-3.4913,-2.40078
-2.37058,-3.4913,-2.37058
-2.34793,-3.4913,-2.34793
-2.33283,-3.4913,-2.33283
-2.32528,-3.50242,-2.32528
-2.31773,-3.50242,-2.31773
-2.31018,-3.50242,-2.31018
-2.30263,-3.50242,-2.30263
-2.30263,-3.50242,-2.30263
-2.31018,-3.50242,-2.31018
-2.31018,-3.50242,-2.31018
-2.31773,-3.51354,-2.31773
-2.32528,-3.51354,-2.32528
-2.34038,-3.51354,-2.34038
-2.34793,-3.52466,-2.34793
-2.36303,-3.52466,-2.36303
-2.37813,-3.53578,-2.37813
-2.40078,-3.5469,-2.40078
-2.43097,-3.55801,-2.43097
-2.45362,-3.55801,-2.45362
-2.47627,-3.56913,-2.47627
-2.50647,-3.59137,-2.50647
-2.53667,-3.60249,-2.53667
-2.56687,-3.62473,-2.56687
-2.58952,-3.64697,-2.58952
-2.61971,-3.68032,-2.61971
-2.64991,-3.71368,-2.64991
-2.67256,-3.74703,-2.67256
-2.68766,-3.79151,-2.68766
-2.71031,-3.83598,-2.71031
-2.72541,-3.89158,-2.72541
-2.74051,-3.93605,-2.74051
-2.74806,-3.99165,-2.74806
-2.76316,-4.04724,-2.76316
-2.79336,-4.09172,-2.79336
-2.816,-4.11395,-2.816
-2.83865,-4.13619,-2.83865
-2.85375,-4.13619,-2.85375
-2.85375,-4.14731,-2.85375
-2.85375,-4.14731,-2.85375
-2.8462,-4.14731,-2.8462
-2.83865,-4.14731,-2.83865
-2.82355,-4.14731,-2.82355
-2.816,-4.14731,-2.816
-2.80091,-4.14731,-2.80091
-2.77826,-4.14731,-2.77826
-2.75561,-4.14731,-2.75561
-2.74806,-4.13619,-2.74806
-2.73296,-4.12507,-2.73296
-2.72541,-4.11395,-2.72541
-2.71786,-4.10284,-2.71786
-2.71786,-4.0806,-2.71786
-2.71031,-4.05836,-2.71031
-2.71031,-4.03612,-2.71031
-2.71031,-4.00277,-2.71031
-2.71786,-3.98053,-2.71786
-2.71786,-3.95829,-2.71786
-2.73296,-3.93605,-2.73296
