x,y,z
-2.45362,-3.60249,-2.45362
-2.45362,-3.60249,-2.45362
-2.46117,-3.60249,-2.46117
-2.46872,-3.61361,-2.46872
-2.46117,-3.60249,-2.46117
-2.45362,-3.60249,-2.45362
-2.46117,-3.60249,-2.46117
-2.47627,-3.60249,-2.47627
-2.48382,-3.61361,-2.48382
-2.49137,-3.61361,-2.49137
-2.49137,-3.61361,-2.49137
-2.49892,-3.62473,-2.49892
-2.49892,-3.62473,-2.49892
-2.49892,-3.62473,-2.49892
-2.49892,-3.62473,-2.49892
-2.48382,-3.62473,-2.48382
-2.48382,-3.62473,-2.48382
-2.47627,-3.62473,-2.47627
-2.46872,-3.63585,-2.46872
-2.46872,-3.64697,-2.46872
-2.46872,-3.6692,-2.46872
-2.46117,-3.69144,-2.46117
-2.46117,-3.71368,-2.46117
-2.45362,-3.73592,-2.45362
-2.45362,-3.75815,-2.45362
-2.45362,-3.76927,-2.45362
-2.45362,-3.78039,-2.45362
-2.46117,-3.80263,-2.46117
-2.46872,-3.81375,-2.46872
-2.48382,-3.8471,-2.48382
-2.49892,-3.85822,-2.49892
-2.52157,-3.86934,-2.52157
-2.54422,-3.89158,-2.54422
-2.55932,-3.9027,-2.55932
-2.58952,-3.92493,-2.58952
-2.61971,-3.94717,-2.61971
-2.64991,-3.95829,-2.64991
-2.68766,-3.96941,-2.68766
-2.71786,-3.96941,-2.71786
-2.76316,-3.96941,-2.76316
-2.80091,-3.96941,-2.80091
-2.8311,-3.95829,-2.8311
-2.86885,-3.94717,-2.86885
-2.8915,-3.93605,-2.8915
-2.91415,-3.91382,-2.91415
-2.92925,-3.88046,-2.92925
-2.94435,-3.85822,-2.94435
-2.9519,-3.82487,-2.9519
-2.95945,-3.80263,-2.95945
-2.95945,-3.76927,-2.95945
-2.9519,-3.73592,-2.9519
-2.9519,-3.71368,-2.9519
-2.94435,-3.68032,-2.94435
-2.9368,-3.64696,-2.9368
-2.92925,-3.61361,-2.92925
-2.91415,-3.59137,-2.91415
-2.89905,-3.56913,-2.89905
-2.8764,-3.5469,-2.8764
-2.8613,-3.53578,-2.8613
-2.83865,-3.51354,-2.83865
-2.816,-3.50242,-2.816
-2.78581,-3.50242,-2.78581
-2.76316,-3.50242,-2.76316
-2.74051,-3.50242,-2.74051
-2.71031,-3.51354,-2.71031
-2.68011,-3.51354,-2.68011
-2.65746,-3.52466,-2.65746
-2.63481,-3.52466,-2.63481
-2.61216,-3.5469,-2.61216
-2.58952,-3.55801,-2.58952
-2.56687,-3.58025,-2.56687
-2.54422,-3.60249,-2.54422
-2.52157,-3.62473,-2.52157
-2.50647,-3.65808,-2.50647
-2.49137,-3.68032,-2.49137
-2.46872,-3.71368,-2.46872
-2.46117,-3.74703,-2.46117
-2.44607,-3.78039,-2.44607
-2.43097,-3.80263,-2.43097
-2.40833,-3.82487,-2.40833
-2.39323,-3.83598,-2.39323
-2.37058,-3.83598,-2.37058
-2.37058,-3.82487,-2.37058
-2.36303,-3.81375,-2.36303
-2.35548,-3.81375,-2.35548
-2.34038,-3.81375,-2.34038
-2.33283,-3.82487,-2.33283
-2.32528,-3.83598,-2.32528
-2.31773,-3.86934,-2.31773
-2.31773,-3.89158,-2.31773
-2.31018,-3.92493,-2.31018
-2.30263,-3.95829,-2.30263
-2.29508,-3.99165,-2.29508
-2.30263,-4.025,-2.30263
-2.30263,-4.04724,-2.30263
-2.31018,-4.0806,-2.31018
-2.32528,-4.11395,-2.32528
-2.34793,-4.13619,-2.34793
-2.37058,-4.15843,-2.37058
-2.40078,-4.16955,-2.40078
-2.43852,-4.16955,-2.43852
-2.46872,-4.18067,-2.46872
-2.49892,-4.18067,-2.49892
-2.53667,-4.18067,-2.53667
-2.57442,-4.18067,-2.57442
-2.61971,-4.19179,-2.61971
-2.66501,-4.19179,-2.66501
-2.70276,-4.2029,-2.70276
-2.74051,-4.2029,-2.74051
-2.77071,-4.2029,-2.77071
-2.80845,-4.2029,-2.80845
-2.8462,-4.2029,-2.8462
-2.8764,-4.19179,-2.8764
-2.91415,-4.19179,-2.91415
-2.9519,-4.16955,-2.9519
-2.9821,-4.15843,-2.9821
-3.01229,-4.13619,-3.01229
-3.03494,-4.11395,-3.03494
-3.06514,-4.09172,-3.06514
-3.08779,-4.06948,-3.08779
-3.11044,-4.03612,-3.11044
-3.13309,-4.01388,-3.13309
-3.14819,-3.98053,-3.14819
-3.16329,-3.95829,-3.16329
-3.17084,-3.92493,-3.17084
-3.17839,-3.89158,-3.17839
-3.17839,-3.85822,-3.17839
-3.18593,-3.82487,-3.18593
-3.18593,-3.79151,-3.18593
-3.18593,-3.75815,-3.18593
-3.18593,-3.7248,-3.18593
