dist_err,waypoint_idx
0.344558,1
0.342259,1
0.330342,1
0.319358,1
0.320892,1
0.311624,1
0.303241,1
0.28443,1
0.277433,1
0.270657,1
0.255024,1
0.248011,1
0.242505,1
0.235397,1
0.227662,1
0.218832,1
0.210218,1
0.193074,1
0.186697,1
0.180802,1
0.177807,1
0.174438,1
0.169561,1
0.162692,1
0.152822,1
0.14904,1
0.142257,1
0.13792,1
0.132568,1
0.129052,1
0.125303,1
0.115928,1
0.112247,1
0.106768,1
0.0994134,1
0.252441,2
0.254566,2
0.25693,2
0.250239,2
0.253438,2
0.249376,2
0.236717,2
0.233954,2
0.225557,2
0.220134,2
0.215191,2
0.216666,2
0.211577,2
0.20558,2
0.194954,2
0.191133,2
0.193337,2
0.185885,2
0.183093,2
0.174367,2
0.164954,2
0.156291,2
0.152414,2
0.150064,2
0.138172,2
0.131249,2
0.12175,2
0.1158,2
0.107249,2
0.0968541,2
0.242426,3
0.239897,3
0.232707,3
0.222444,3
0.211518,3
0.206081,3
0.19535,3
0.18456,3
0.179282,3
0.168401,3
0.157914,3
0.14736,3
0.144228,3
0.134865,3
0.131439,3
0.124582,3
0.120185,3
0.113337,3
0.115808,3
0.107385,3
0.102908,3
0.0957224,3
0.281912,4
0.272998,4
0.264546,4
0.249951,4
0.229348,4
0.20918,4
0.198374,4
0.180793,4
0.171466,4
0.157447,4
0.151616,4
0.143461,4
0.136367,4
0.137033,4
0.133913,4
0.131904,4
0.14332,4
0.145945,4
0.150218,4
0.15632,4
0.150286,4
0.146308,4
0.157122,4
0.150843,4
0.151147,4
0.146694,4
0.147374,4
0.136705,4
0.133763,4
0.123963,4
0.120978,4
0.11003,4
0.100478,4
0.099231,4
0.153675,5
0.167857,5
0.175211,5
0.182975,5
0.176508,5
0.169493,5
0.162795,5
0.150213,5
0.141731,5
0.134414,5
0.132523,5
0.123537,5
0.121847,5
0.123155,5
0.127369,5
0.134509,5
0.133108,5
0.134002,5
0.124195,5
0.125181,5
0.126906,5
0.119123,5
0.1189,5
0.108911,5
0.0952604,5
0.201699,6
0.195785,6
0.186108,6
0.182195,6
0.164593,6
0.154449,6
0.144971,6
0.130042,6
0.122605,6
0.105785,6
0.0983801,6
0.288337,7
0.274095,7
0.259985,7
0.25328,7
0.246725,7
0.233356,7
0.227034,7
0.214243,7
0.197512,7
0.185986,7
0.169894,7
0.146477,7
0.129616,7
0.11667,7
0.100596,7
0.0845963,7
0.248798,8
0.235335,8
0.217009,8
0.201176,8
0.192602,8
0.177408,8
0.163579,8
0.155476,8
0.143522,8
0.128338,8
0.10901,8
0.0934092,8
0.241722,9
0.221906,9
0.214642,9
0.196818,9
0.186654,9
0.170811,9
0.158632,9
0.146366,9
0.127413,9
0.10862,9
0.0877543,9
0.246519,10
0.227314,10
0.21484,10
0.19653,10
0.183975,10
0.165437,10
0.146613,10
0.134518,10
0.117114,10
0.100356,10
0.0902252,10
0.247985,11
0.235508,11
0.216182,11
0.202861,11
0.184051,11
0.165397,11
0.146605,11
0.135315,11
0.116765,11
0.102526,11
0.0949146,11
0.255205,12
0.242028,12
0.224567,12
0.207305,12
0.200327,12
0.174416,12
0.158976,12
0.156843,12
0.14221,12
0.128124,12
0.116439,12
0.0963065,12
0.233091,13
0.216146,13
0.192619,13
0.179599,13
0.153335,13
0.140421,13
0.125409,13
0.112708,13
0.101384,13
0.0918498,13
0.233798,14
0.217353,14
0.200934,14
0.188141,14
0.16167,14
0.145097,14
0.128331,14
0.114862,14
0.114186,14
0.0943071,14
0.229701,15
0.216287,15
0.193313,15
0.183695,15
0.166252,15
0.143027,15
0.125945,15
0.0991346,15
0.262344,16
0.243862,16
0.21723,16
0.198874,16
0.176021,16
0.158426,16
0.141459,16
0.12856,16
0.111309,16
0.0971402,16
0.270495,17
0.244602,17
0.231783,17
0.212873,17
0.194181,17
0.175508,17
0.15686,17
0.138145,17
0.119413,17
0.106628,17
0.0878876,17
0.270292,18
0.240307,18
0.222018,18
0.199939,18
0.174938,18
0.157344,18
0.14005,18
0.125352,18
0.108098,18
0.0932442,18
0.286249,19
0.271534,19
0.256849,19
0.247059,19
0.239724,19
