x,y,z
-2.65746,-3.73592,5.075
-2.65746,-3.73592,5.075
-2.64991,-3.73592,5.065
-2.64991,-3.7248,5.045
-2.64991,-3.71368,5.025
-2.64991,-3.70256,4.985
-2.64991,-3.69144,4.947
-2.64236,-3.68032,4.908
-2.64236,-3.6692,4.869
-2.63481,-3.65809,4.833
-2.62727,-3.63585,4.79
-2.62727,-3.62473,4.745
-2.61972,-3.61361,4.703
-2.61972,-3.60249,4.662
-2.61972,-3.59137,4.621
-2.61217,-3.58025,4.58
-2.61217,-3.56913,4.541
-2.61217,-3.55802,4.502
-2.61217,-3.5469,4.462
-2.60462,-3.5469,4.422
-2.60462,-3.53578,4.383
-2.59707,-3.51354,4.341
-2.59707,-3.50242,4.304
-2.59707,-3.4913,4.266
-2.58952,-3.46907,4.232
-2.58952,-3.45795,4.202
-2.58197,-3.44683,4.166
-2.58197,-3.43571,4.127
-2.57442,-3.42459,4.083
-2.57442,-3.42459,4.035
-2.56687,-3.40235,3.986
-2.55932,-3.39123,3.944
-2.55932,-3.39123,3.908
-2.55177,-3.38011,3.873
-2.54422,-3.38011,3.842
-2.54422,-3.38011,3.808
-2.54422,-3.369,3.772
-2.53667,-3.369,3.732
-2.53667,-3.35788,3.688
-2.53667,-3.34676,3.646
-2.52912,-3.34676,3.598
-2.52157,-3.33564,3.557
-2.51402,-3.32452,3.516
-2.50647,-3.3134,3.473
-2.49892,-3.3134,3.435
-2.49137,-3.30228,3.396
-2.48382,-3.29116,3.356
-2.47627,-3.29116,3.317
-2.46872,-3.29116,3.283
-2.45362,-3.29116,3.242
-2.44607,-3.29116,3.205
-2.43852,-3.30228,3.176
-2.43097,-3.29116,3.145
-2.42342,-3.29116,3.111
-2.42342,-3.29116,3.076
-2.42342,-3.29116,3.042
-2.42342,-3.29116,3.011
-2.41588,-3.29116,2.978
-2.40833,-3.28005,2.94
-2.40833,-3.28005,2.907
-2.40078,-3.28005,2.877
-2.40078,-3.29116,2.845
-2.39323,-3.29116,2.815
-2.39323,-3.30228,2.786
-2.38568,-3.30228,2.753
-2.37813,-3.3134,2.725
-2.37813,-3.3134,2.698
-2.37058,-3.32452,2.665
-2.37058,-3.33564,2.633
-2.37058,-3.34676,2.602
-2.37058,-3.35788,2.571
-2.37813,-3.369,2.541
-2.37813,-3.38011,2.514
-2.37813,-3.38011,2.491
-2.37813,-3.40235,2.467
-2.38568,-3.40235,2.447
-2.38568,-3.42459,2.424
-2.39323,-3.43571,2.402
-2.39323,-3.45795,2.38
-2.40078,-3.46906,2.363
-2.40078,-3.4913,2.342
-2.40833,-3.50242,2.319
-2.41587,-3.51354,2.299
-2.42342,-3.53578,2.28
-2.43097,-3.55801,2.263
-2.43852,-3.58025,2.248
-2.45362,-3.61361,2.236
-2.46117,-3.63585,2.226
-2.46872,-3.65808,2.217
-2.47627,-3.68032,2.209
-2.48382,-3.70256,2.202
-2.49137,-3.7248,2.195
