x,y,z
-2.68766,-3.76927,-2.68766
-2.68766,-3.76927,-2.68766
-2.68766,-3.78039,-2.68766
-2.68766,-3.76927,-2.68766
-2.68766,-3.78039,-2.68766
-2.68766,-3.78039,-2.68766
-2.68011,-3.78039,-2.68011
-2.68011,-3.78039,-2.68011
-2.68011,-3.78039,-2.68011
-2.68011,-3.78039,-2.68011
-2.67256,-3.78039,-2.67256
-2.67256,-3.78039,-2.67256
-2.67256,-3.78039,-2.67256
-2.67256,-3.78039,-2.67256
-2.67256,-3.78039,-2.67256
-2.67256,-3.78039,-2.67256
-2.67256,-3.76927,-2.67256
-2.68011,-3.76927,-2.68011
-2.68011,-3.76927,-2.68011
-2.68766,-3.76927,-2.68766
-2.68766,-3.75815,-2.68766
-2.69521,-3.75815,-2.69521
-2.69521,-3.75815,-2.69521
-2.70276,-3.75815,-2.70276
-2.70276,-3.75815,-2.70276
-2.71786,-3.74704,-2.71786
-2.71786,-3.74704,-2.71786
-2.73296,-3.74704,-2.73296
-2.74051,-3.73592,-2.74051
-2.75561,-3.73592,-2.75561
-2.75561,-3.73592,-2.75561
-2.77071,-3.73592,-2.77071
-2.77826,-3.73592,-2.77826
-2.77826,-3.73592,-2.77826
-2.78581,-3.73592,-2.78581
-2.79336,-3.73592,-2.79336
-2.79336,-3.73592,-2.79336
-2.80091,-3.73592,-2.80091
-2.80846,-3.73592,-2.80846
-2.80846,-3.73592,-2.80846
-2.80846,-3.7248,-2.80846
-2.81601,-3.71368,-2.81601
-2.82356,-3.71368,-2.82356
-2.8311,-3.70256,-2.8311
-2.8311,-3.69144,-2.8311
-2.83865,-3.68032,-2.83865
-2.83865,-3.68032,-2.83865
-2.83865,-3.6692,-2.83865
-2.83865,-3.6692,-2.83865
-2.8462,-3.6692,-2.8462
-2.8462,-3.65809,-2.8462
-2.8462,-3.65809,-2.8462
-2.83865,-3.65809,-2.83865
-2.83865,-3.64697,-2.83865
-2.83865,-3.64697,-2.83865
-2.83865,-3.64697,-2.83865
-2.8311,-3.63585,-2.8311
-2.8311,-3.63585,-2.8311
-2.82355,-3.63585,-2.82355
-2.81601,-3.62473,-2.81601
-2.80846,-3.62473,-2.80846
-2.80091,-3.62473,-2.80091
-2.78581,-3.61361,-2.78581
-2.78581,-3.61361,-2.78581
-2.77071,-3.60249,-2.77071
-2.76316,-3.60249,-2.76316
-2.76316,-3.60249,-2.76316
