x,y,z
-2.40078,-3.65808,-2.40078
-2.42342,-3.64697,-2.42342
-2.44607,-3.63585,-2.44607
-2.46872,-3.64697,-2.46872
-2.49137,-3.64697,-2.49137
-2.51402,-3.65808,-2.51402
-2.53667,-3.6692,-2.53667
-2.54422,-3.68032,-2.54422
-2.55177,-3.69144,-2.55177
-2.54422,-3.71368,-2.54422
-2.53667,-3.7248,-2.53667
-2.52912,-3.73592,-2.52912
-2.50647,-3.73592,-2.50647
-2.48382,-3.74703,-2.48382
-2.46117,-3.74703,-2.46117
-2.43852,-3.73592,-2.43852
-2.40833,-3.73592,-2.40833
-2.37813,-3.7248,-2.37813
-2.35548,-3.70256,-2.35548
-2.34038,-3.69144,-2.34038
-2.34038,-3.6692,-2.34038
-2.35548,-3.65808,-2.35548
-2.37058,-3.65808,-2.37058
-2.39323,-3.65808,-2.39323
-2.41587,-3.65808,-2.41587
-2.44607,-3.6692,-2.44607
-2.46117,-3.65808,-2.46117
-2.48382,-3.6692,-2.48382
-2.49892,-3.68032,-2.49892
-2.51402,-3.69144,-2.51402
-2.52157,-3.70256,-2.52157
-2.51402,-3.71368,-2.51402
-2.50647,-3.73592,-2.50647
-2.49137,-3.74703,-2.49137
-2.46872,-3.75815,-2.46872
-2.43852,-3.75815,-2.43852
-2.41587,-3.74703,-2.41587
-2.38568,-3.74703,-2.38568
-2.36303,-3.7248,-2.36303
-2.34793,-3.71368,-2.34793
-2.34793,-3.69144,-2.34793
-2.35548,-3.68032,-2.35548
-2.37058,-3.6692,-2.37058
-2.38568,-3.65808,-2.38568
-2.40078,-3.65808,-2.40078
-2.42342,-3.65808,-2.42342
-2.43852,-3.6692,-2.43852
-2.46117,-3.68032,-2.46117
-2.47627,-3.69144,-2.47627
-2.49892,-3.71368,-2.49892
-2.50647,-3.7248,-2.50647
-2.51402,-3.74703,-2.51402
-2.50647,-3.76927,-2.50647
-2.49137,-3.78039,-2.49137
-2.46872,-3.79151,-2.46872
-2.44607,-3.80263,-2.44607
-2.42342,-3.80263,-2.42342
-2.40078,-3.79151,-2.40078
-2.37813,-3.76927,-2.37813
-2.36303,-3.74703,-2.36303
-2.35548,-3.73592,-2.35548
-2.35548,-3.71368,-2.35548
-2.36303,-3.70256,-2.36303
-2.37813,-3.69144,-2.37813
-2.39323,-3.68032,-2.39323
-2.40833,-3.68032,-2.40833
-2.43852,-3.69144,-2.43852
-2.46117,-3.69144,-2.46117
-2.48382,-3.70256,-2.48382
-2.50647,-3.71368,-2.50647
-2.52157,-3.73592,-2.52157
-2.52912,-3.74703,-2.52912
-2.52157,-3.75815,-2.52157
-2.50647,-3.76927,-2.50647
-2.49892,-3.76927,-2.49892
-2.47627,-3.76927,-2.47627
-2.45362,-3.76927,-2.45362
-2.43852,-3.75815,-2.43852
-2.41587,-3.74703,-2.41587
-2.40078,-3.73592,-2.40078
-2.39323,-3.7248,-2.39323
-2.39323,-3.70256,-2.39323
-2.40078,-3.69144,-2.40078
-2.42342,-3.68032,-2.42342
-2.43852,-3.68032,-2.43852
-2.46117,-3.68032,-2.46117
-2.49137,-3.68032,-2.49137
-2.51402,-3.69144,-2.51402
-2.52912,-3.70256,-2.52912
-2.53667,-3.71368,-2.53667
-2.54422,-3.7248,-2.54422
-2.54422,-3.73592,-2.54422
-2.52912,-3.74703,-2.52912
-2.52157,-3.75815,-2.52157
-2.49892,-3.75815,-2.49892
-2.48382,-3.76927,-2.48382
-2.46117,-3.76927,-2.46117
-2.44607,-3.75815,-2.44607
-2.42342,-3.74703,-2.42342
-2.40833,-3.73592,-2.40833
-2.39323,-3.71368,-2.39323
-2.39323,-3.69144,-2.39323
-2.40078,-3.68032,-2.40078
-2.42342,-3.6692,-2.42342
-2.43852,-3.65808,-2.43852
-2.46117,-3.65808,-2.46117
-2.48382,-3.65808,-2.48382
-2.50647,-3.65808,-2.50647
-2.52157,-3.6692,-2.52157
-2.54422,-3.68032,-2.54422
-2.55177,-3.69144,-2.55177
-2.55177,-3.70256,-2.55177
-2.54422,-3.71368,-2.54422
-2.53667,-3.7248,-2.53667
-2.52157,-3.7248,-2.52157
-2.50647,-3.73592,-2.50647
-2.49137,-3.73592,-2.49137
-2.46872,-3.74703,-2.46872
-2.44607,-3.74703,-2.44607
-2.42342,-3.74703,-2.42342
-2.39323,-3.73592,-2.39323
-2.37058,-3.7248,-2.37058
-2.36303,-3.71368,-2.36303
-2.36303,-3.70256,-2.36303
-2.37058,-3.69144,-2.37058
-2.38568,-3.69144,-2.38568
-2.39323,-3.68032,-2.39323
-2.41587,-3.68032,-2.41587
-2.43097,-3.68032,-2.43097
-2.45362,-3.68032,-2.45362
-2.47627,-3.69144,-2.47627
-2.49892,-3.69144,-2.49892
-2.51402,-3.70256,-2.51402
-2.52157,-3.7248,-2.52157
-2.51402,-3.73592,-2.51402
-2.49892,-3.74703,-2.49892
-2.48382,-3.74703,-2.48382
-2.45362,-3.75815,-2.45362
-2.43852,-3.74703,-2.43852
-2.40833,-3.74703,-2.40833
-2.38568,-3.73592,-2.38568
-2.36303,-3.71368,-2.36303
-2.34793,-3.70256,-2.34793
-2.34038,-3.68032,-2.34038
-2.34793,-3.68032,-2.34793
-2.34793,-3.6692,-2.34793
-2.34038,-3.6692,-2.34038
-2.33283,-3.6692,-2.33283
-2.31773,-3.68032,-2.31773
-2.30263,-3.69144,-2.30263
-2.28753,-3.71368,-2.28753
-2.27243,-3.7248,-2.27243
-2.25733,-3.74703,-2.25733
-2.24223,-3.76927,-2.24223
-2.23468,-3.80263,-2.23468
-2.23468,-3.82487,-2.23468
-2.23468,-3.8471,-2.23468
-2.23468,-3.86934,-2.23468
-2.23468,-3.89158,-2.23468
-2.24223,-3.9027,-2.24223
-2.24978,-3.92494,-2.24978
-2.26488,-3.94717,-2.26488
-2.27998,-3.96941,-2.27998
-2.29508,-3.98053,-2.29508
-2.31018,-3.99165,-2.31018
-2.33283,-4.00277,-2.33283
-2.35548,-4.01389,-2.35548
-2.37813,-4.01389,-2.37813
-2.40078,-4.03612,-2.40078
-2.41588,-4.03612,-2.41588
-2.44607,-4.05836,-2.44607
-2.46117,-4.06948,-2.46117
-2.48382,-4.0806,-2.48382
-2.49892,-4.09172,-2.49892
