dist_err,waypoint_idx
0.204388,1
0.19904,2
0.363062,3
0.532032,4
0.49279,4
0.41678,4
0.332029,4
0.389535,5
0.438015,6
0.344361,6
0.392463,7
0.430336,8
0.335461,8
0.373885,9
0.407999,10
0.310752,10
0.347917,11
0.385318,12
0.426853,13
0.327061,13
0.367483,14
0.40545,15
0.307746,15
0.352428,16
0.393621,17
0.429725,18
0.319016,18
0.352064,19
0.392704,20
0.428506,21
0.31708,21
0.357798,22
0.39805,23
0.432212,24
0.33032,24
0.362908,25
0.402199,26
0.300959,26
0.341345,27
0.373829,28
0.414227,29
0.306679,29
0.351011,30
0.384139,31
0.407511,32
0.301349,32
0.334878,33
0.37144,34
0.403891,35
0.290772,35
0.327735,36
0.358496,37
0.389267,38
0.421588,39
0.318946,39
0.347683,40
0.380859,41
0.419397,42
0.312152,42
0.347563,43
0.38743,44
0.431082,45
0.322421,45
0.360645,46
0.398312,47
0.432724,48
0.341565,48
0.377065,49
0.103646,1
0.142659,2
0.37781,3
0.593128,4
0.601766,4
0.57998,4
0.55257,4
0.513352,4
0.456046,4
0.39582,4
0.452741,5
0.373946,5
0.427497,6
0.347911,6
0.39928,7
0.444109,8
0.354424,8
0.401312,9
0.297238,9
0.339606,10
0.388886,11
0.445075,12
0.34741,12
0.400401,13
0.304493,13
0.359576,14
0.405489,15
0.31254,15
0.372356,16
0.421811,17
0.331405,17
0.374568,18
0.424326,19
0.337823,19
0.38814,20
0.450425,21
0.364126,21
0.413347,22
0.320813,22
0.369433,23
0.419236,24
0.324179,24
0.373458,25
0.416229,26
0.322098,26
0.363286,27
0.404571,28
0.305294,28
0.353957,29
0.396651,30
0.443066,31
0.343855,31
0.392079,32
0.444785,33
0.354751,33
0.405975,34
0.307796,34
0.351821,35
0.393116,36
0.433971,37
0.341302,37
0.390457,38
0.426116,39
0.325576,39
0.364512,40
0.409262,41
0.303397,41
0.342797,42
0.381312,43
0.420647,44
0.316537,44
0.36105,45
0.393319,46
0.427304,47
0.326066,47
0.364176,48
0.407058,49
0.151193,1
0.198758,2
0.406252,3
0.457894,3
0.486587,3
0.495572,3
0.478067,3
0.445171,3
0.391818,3
0.459445,4
0.397792,4
0.466713,5
0.390588,5
0.450914,6
0.363462,6
0.412658,7
0.318658,7
0.371891,8
0.41595,9
0.324422,9
0.369045,10
0.408896,11
0.319333,11
0.368225,12
0.407541,13
0.321495,13
0.373146,14
0.424323,15
0.330505,15
0.38431,16
0.429029,17
0.333673,17
0.370911,18
0.419342,19
0.329907,19
0.374983,20
0.427439,21
0.339404,21
0.389517,22
0.427007,23
0.331297,23
0.37226,24
0.413875,25
0.315732,25
0.350157,26
0.383307,27
0.418717,28
0.318928,28
0.349274,29
0.384276,30
0.417534,31
0.31926,31
0.352856,32
0.386843,33
0.420574,34
0.32386,34
0.359428,35
0.397258,36
0.433223,37
0.32745,37
0.365804,38
0.402675,39
0.302736,39
0.331561,40
0.371943,41
0.409087,42
0.297312,42
0.335158,43
0.360586,44
0.398956,45
0.438381,46
0.329351,46
0.36995,47
0.408363,48
0.303587,48
0.339594,49
