Path centered at: WORLD FRAME [0.00260242, 0.00260242], DRONE FRAME [-2.69261,-3.73331]
-----PARAMETERS-----
n_spiral (max) = 5
layer_height = 0.1
--------------------
Starting at 2.91455m
Ending at 3.68775m
Depth = 0.773198m (40%)
Layer 0 radius: 0.126662
Layer 1 radius: 0.328869
Layer 2 radius: 0.42811
Layer 3 radius: 0.458935
Layer 4 radius: 0.484705
Layer 5 radius: 0.517553
Layer 6 radius: 0.544771
Layer 7 radius: 0.573061
0 [-2.49261, -3.73331, 2.91455]
1 [-2.49425, -3.75889, 2.91455]
2 [-2.49915, -3.78405, 2.91455]
3 [-2.50723, -3.80837, 2.91455]
4 [-2.51835, -3.83146, 2.91455]
5 [-2.53233, -3.85294, 2.91455]
6 [-2.54894, -3.87245, 2.91455]
7 [-2.56791, -3.88968, 2.91455]
8 [-2.58893, -3.90434, 2.91455]
9 [-2.61165, -3.9162, 2.91455]
10 [-2.6357, -3.92505, 2.91455]
11 [-2.66069, -3.93075, 2.91455]
12 [-2.6862, -3.93321, 2.91455]
13 [-2.71181, -3.93239, 2.91455]
14 [-2.73711, -3.9283, 2.91455]
15 [-2.76168, -3.92101, 2.91455]
16 [-2.78512, -3.91063, 2.91455]
17 [-2.80703, -3.89735, 2.91455]
18 [-2.82707, -3.88137, 2.91455]
19 [-2.8449, -3.86296, 2.91455]
20 [-2.86023, -3.84242, 2.91455]
21 [-2.8728, -3.82009, 2.91455]
22 [-2.88242, -3.79634, 2.91455]
23 [-2.88892, -3.77155, 2.91455]
24 [-2.8922, -3.74613, 2.91455]
25 [-2.8922, -3.7205, 2.91455]
26 [-2.88892, -3.69508, 2.91455]
27 [-2.88242, -3.67029, 2.91455]
28 [-2.8728, -3.64654, 2.91455]
29 [-2.86023, -3.62421, 2.91455]
30 [-2.8449, -3.60367, 2.91455]
31 [-2.82707, -3.58526, 2.91455]
32 [-2.80703, -3.56928, 2.91455]
33 [-2.78512, -3.55599, 2.91455]
34 [-2.76168, -3.54562, 2.91455]
35 [-2.73711, -3.53833, 2.91455]
36 [-2.71181, -3.53424, 2.91455]
37 [-2.6862, -3.53342, 2.91455]
38 [-2.66069, -3.53588, 2.91455]
39 [-2.6357, -3.54158, 2.91455]
40 [-2.61165, -3.55043, 2.91455]
41 [-2.58893, -3.56229, 2.91455]
42 [-2.56791, -3.57695, 2.91455]
43 [-2.54894, -3.59418, 2.91455]
44 [-2.53233, -3.61369, 2.91455]
45 [-2.51835, -3.63517, 2.91455]
46 [-2.50723, -3.65826, 2.91455]
47 [-2.49915, -3.68258, 2.91455]
48 [-2.49425, -3.70774, 2.91455]
49 [-2.49261, -3.73331, 2.91455]
0 [-2.36374, -3.73331, 3.01455]
1 [-2.36644, -3.77537, 3.01455]
2 [-2.3745, -3.81673, 3.01455]
3 [-2.38777, -3.85673, 3.01455]
4 [-2.40606, -3.8947, 3.01455]
5 [-2.42905, -3.93001, 3.01455]
6 [-2.45637, -3.9621, 3.01455]
7 [-2.48756, -3.99043, 3.01455]
8 [-2.52213, -4.01454, 3.01455]
9 [-2.55949, -4.03404, 3.01455]
10 [-2.59904, -4.04859, 3.01455]
11 [-2.64012, -4.05797, 3.01455]
12 [-2.68207, -4.06202, 3.01455]
13 [-2.72419, -4.06066, 3.01455]
14 [-2.76579, -4.05394, 3.01455]
15 [-2.80619, -4.04195, 3.01455]
16 [-2.84472, -4.02489, 3.01455]
17 [-2.88076, -4.00304, 3.01455]
18 [-2.91371, -3.97677, 3.01455]
19 [-2.94303, -3.9465, 3.01455]
20 [-2.96823, -3.91272, 3.01455]
21 [-2.98891, -3.87601, 3.01455]
22 [-3.00472, -3.83694, 3.01455]
23 [-3.01541, -3.79618, 3.01455]
24 [-3.0208, -3.75439, 3.01455]
25 [-3.0208, -3.71224, 3.01455]
26 [-3.01541, -3.67045, 3.01455]
27 [-3.00472, -3.62969, 3.01455]
28 [-2.98891, -3.59062, 3.01455]
29 [-2.96823, -3.55391, 3.01455]
30 [-2.94303, -3.52013, 3.01455]
31 [-2.91371, -3.48986, 3.01455]
32 [-2.88076, -3.46359, 3.01455]
33 [-2.84472, -3.44174, 3.01455]
34 [-2.80619, -3.42468, 3.01455]
35 [-2.76579, -3.41269, 3.01455]
36 [-2.72419, -3.40597, 3.01455]
37 [-2.68207, -3.40461, 3.01455]
38 [-2.64012, -3.40866, 3.01455]
39 [-2.59904, -3.41804, 3.01455]
40 [-2.55949, -3.43259, 3.01455]
41 [-2.52213, -3.45208, 3.01455]
42 [-2.48756, -3.47619, 3.01455]
43 [-2.45637, -3.50453, 3.01455]
44 [-2.42905, -3.53661, 3.01455]
45 [-2.40606, -3.57193, 3.01455]
46 [-2.38777, -3.6099, 3.01455]
47 [-2.3745, -3.6499, 3.01455]
48 [-2.36644, -3.69126, 3.01455]
49 [-2.36374, -3.73331, 3.01455]
50 [-2.36374, -3.73331, 3.01455]
51 [-2.36889, -3.77421, 3.01455]
52 [-2.37907, -3.81382, 3.01455]
53 [-2.39402, -3.85153, 3.01455]
54 [-2.41345, -3.88678, 3.01455]
55 [-2.43697, -3.91904, 3.01455]
56 [-2.46415, -3.94786, 3.01455]
57 [-2.49448, -3.97281, 3.01455]
58 [-2.52744, -3.99358, 3.01455]
59 [-2.56246, -4.0099, 3.01455]
60 [-2.59895, -4.02158, 3.01455]
61 [-2.6363, -4.02851, 3.01455]
62 [-2.6739, -4.03067, 3.01455]
63 [-2.71116, -4.0281, 3.01455]
64 [-2.74747, -4.02091, 3.01455]
65 [-2.78229, -4.00932, 3.01455]
66 [-2.81508, -3.99357, 3.01455]
67 [-2.84535, -3.97399, 3.01455]
68 [-2.87267, -3.95097, 3.01455]
69 [-2.89665, -3.92492, 3.01455]
70 [-2.91697, -3.89632, 3.01455]
71 [-2.93337, -3.86567, 3.01455]
72 [-2.94566, -3.83351, 3.01455]
73 [-2.95373, -3.80036, 3.01455]
74 [-2.95752, -3.76678, 3.01455]
75 [-2.95704, -3.73331, 3.01455]
76 [-2.9524, -3.7005, 3.01455]
77 [-2.94374, -3.66883, 3.01455]
78 [-2.93129, -3.63882, 3.01455]
79 [-2.9153, -3.61089, 3.01455]
80 [-2.89612, -3.58546, 3.01455]
81 [-2.8741, -3.56288, 3.01455]
82 [-2.84967, -3.54347, 3.01455]
83 [-2.82325, -3.52745, 3.01455]
84 [-2.79532, -3.51504, 3.01455]
85 [-2.76636, -3.50633, 3.01455]
86 [-2.73685, -3.50141, 3.01455]
87 [-2.70727, -3.50027, 3.01455]
88 [-2.67811, -3.50284, 3.01455]
89 [-2.64982, -3.50901, 3.01455]
90 [-2.62284, -3.51859, 3.01455]
91 [-2.59758, -3.53136, 3.01455]
92 [-2.5744, -3.54704, 3.01455]
93 [-2.55362, -3.56531, 3.01455]
94 [-2.53554, -3.58582, 3.01455]
95 [-2.52038, -3.60818, 3.01455]
96 [-2.50831, -3.632, 3.01455]
97 [-2.49946, -3.65684, 3.01455]
98 [-2.4939, -3.68229, 3.01455]
99 [-2.49163, -3.70793, 3.01455]
0 [-2.2645, -3.73331, 3.11455]
1 [-2.26801, -3.78806, 3.11455]
2 [-2.2785, -3.84191, 3.11455]
3 [-2.29579, -3.89397, 3.11455]
4 [-2.31959, -3.9434, 3.11455]
5 [-2.34952, -3.98937, 3.11455]
6 [-2.38508, -4.03114, 3.11455]
7 [-2.42569, -4.06803, 3.11455]
8 [-2.47068, -4.09941, 3.11455]
9 [-2.51932, -4.12478, 3.11455]
10 [-2.5708, -4.14373, 3.11455]
11 [-2.62428, -4.15594, 3.11455]
12 [-2.67889, -4.16121, 3.11455]
13 [-2.73372, -4.15945, 3.11455]
14 [-2.78787, -4.15069, 3.11455]
15 [-2.84046, -4.13508, 3.11455]
16 [-2.89063, -4.11288, 3.11455]
17 [-2.93754, -4.08444, 3.11455]
18 [-2.98043, -4.05024, 3.11455]
19 [-3.01859, -4.01083, 3.11455]
20 [-3.0514, -3.96686, 3.11455]
21 [-3.07832, -3.91906, 3.11455]
22 [-3.09891, -3.86822, 3.11455]
23 [-3.11282, -3.81515, 3.11455]
24 [-3.11984, -3.76074, 3.11455]
25 [-3.11984, -3.70589, 3.11455]
26 [-3.11282, -3.65148, 3.11455]
27 [-3.09891, -3.59841, 3.11455]
28 [-3.07832, -3.54756, 3.11455]
29 [-3.0514, -3.49977, 3.11455]
30 [-3.01859, -3.4558, 3.11455]
31 [-2.98043, -3.41639, 3.11455]
32 [-2.93754, -3.38219, 3.11455]
33 [-2.89063, -3.35375, 3.11455]
34 [-2.84046, -3.33155, 3.11455]
35 [-2.78787, -3.31594, 3.11455]
36 [-2.73372, -3.30718, 3.11455]
37 [-2.67889, -3.30542, 3.11455]
38 [-2.62428, -3.31069, 3.11455]
39 [-2.5708, -3.3229, 3.11455]
40 [-2.51932, -3.34185, 3.11455]
41 [-2.47068, -3.36722, 3.11455]
42 [-2.42569, -3.3986, 3.11455]
43 [-2.38508, -3.43549, 3.11455]
44 [-2.34952, -3.47726, 3.11455]
45 [-2.31959, -3.52323, 3.11455]
46 [-2.29579, -3.57266, 3.11455]
47 [-2.2785, -3.62472, 3.11455]
48 [-2.26801, -3.67857, 3.11455]
49 [-2.2645, -3.73331, 3.11455]
50 [-2.2645, -3.73331, 3.11455]
51 [-2.28237, -3.83865, 3.11455]
52 [-2.32545, -3.93516, 3.11455]
53 [-2.39051, -4.01701, 3.11455]
54 [-2.47299, -4.07937, 3.11455]
55 [-2.56737, -4.11878, 3.11455]
56 [-2.66745, -4.13326, 3.11455]
