xte,waypoint_idx
0.154254,2
0.151843,2
0.151356,2
0.153948,2
0.154577,3
0.154412,3
0.155291,3
0.153042,3
0.156197,3
0.157016,3
0.159438,4
0.158489,4
0.158412,4
0.154057,4
0.14975,4
0.144319,5
0.138186,5
0.130396,5
0.122488,5
0.113648,5
0.111363,6
0.111177,6
0.108944,6
0.11262,6
0.116558,7
0.118353,7
0.11736,7
0.116472,7
0.113834,7
0.112658,8
0.111279,8
0.109821,8
0.105266,8
0.103855,8
0.0983701,9
0.095554,9
0.0918032,9
0.0875669,9
0.0862167,9
0.0870297,10
0.091699,10
0.0926181,10
0.091237,10
0.0901968,11
0.0844731,11
0.078849,11
0.0758835,11
0.0720962,11
0.0700993,12
0.0721894,12
0.0740083,12
0.0760598,12
0.0790868,13
0.0830145,13
0.0895293,13
0.0952446,13
0.0980785,13
0.0988343,14
0.0988722,14
0.0990051,14
0.100136,14
0.103248,15
0.105219,15
0.107628,15
0.107143,15
0.110619,15
0.113254,16
0.113474,16
0.11567,16
0.117063,16
0.118047,16
0.12214,17
0.127092,17
0.128002,17
0.132031,17
0.137012,17
0.13721,18
0.136377,18
0.134948,18
0.132286,18
0.128056,19
0.12534,19
0.124006,19
0.123181,19
0.121007,19
0.121011,20
0.120009,20
0.120042,20
0.122023,20
0.124002,21
0.128012,21
0.133346,21
0.132441,21
0.13034,21
0.129132,22
0.128745,22
0.131681,22
0.130196,22
0.129116,23
0.125673,23
0.12554,23
0.121819,23
0.123973,24
0.122486,24
0.120976,24
0.118539,24
0.116791,25
0.113849,25
0.109588,25
0.109675,25
0.112527,26
0.111621,26
0.111621,26
0.111621,26
0.108576,27
0.102817,27
0.0998985,27
0.095048,27
0.0908453,28
0.0857142,28
0.0790658,28
0.0735478,28
0.0690279,29
0.0644358,29
0.0632854,29
0.0620788,30
0.0586965,30
0.0542903,30
0.0487294,30
0.0430021,31
0.0390219,31
0.0370848,31
0.0322884,32
0.0267237,32
0.0204971,32
0.0162142,32
0.00863724,33
0.00668395,33
0.00533613,33
0.00574012,34
0.00310938,34
0.00651716,34
0.010629,34
0.00991246,35
0.0101332,35
0.0102004,35
0.0110734,36
0.0134196,36
0.0150951,36
0.024285,36
0.0243195,37
0.0243737,37
0.0243858,37
0.0252194,37
0.0216815,38
0.0182739,38
0.0169592,38
0.0158817,39
0.02027,39
0.0207953,39
0.0220973,39
0.0230524,40
0.022093,40
0.0219464,40
0.0164767,41
0.0183821,41
0.017403,41
0.013634,41
0.0147828,42
0.00444893,42
0.00683399,42
0.0083162,43
0.00909474,43
0.00800758,43
0.00622351,44
0.00762839,44
0.0119513,44
0.0136185,45
0.0147379,45
0.0239286,45
0.028155,46
0.03667,46
0.0416399,46
0.0452583,47
0.0515608,47
0.0545976,47
0.0629037,48
0.0694956,48
0.070426,48
0.0730751,49
0.123067,2
0.137539,2
0.145842,3
0.148964,3
0.151227,3
0.15397,3
0.162937,4
0.159556,4
0.15609,4
0.157911,4
0.16364,5
0.167643,5
0.167289,5
0.171493,5
0.174408,5
0.175145,6
0.174954,6
0.171642,6
0.173017,6
0.178612,6
0.181056,6
0.184617,7
0.189816,7
0.192094,7
0.193766,7
0.201179,7
0.203742,7
0.202051,7
0.199805,7
0.195709,7
0.192024,8
0.189573,8
0.194558,8
0.197416,8
0.197417,8
0.199798,8
0.197535,8
0.193445,8
0.187649,8
0.18475,9
0.180889,9
0.175125,9
0.170407,9
0.166261,9
0.165074,10
0.159332,10
0.152412,10
0.145503,10
0.140526,10
0.138952,11
0.140683,11
0.143704,11
0.147604,11
0.144115,11
0.14003,11
0.133169,12
0.128488,12
0.125455,12
0.121321,12
0.117061,13
0.113011,13
0.107008,13
0.0962263,13
0.0879074,13
0.0899156,14
0.092394,14
0.0949896,14
0.0927855,14
0.0946619,15
0.090436,15
0.0844222,15
0.0817559,15
0.0849427,16
0.0817528,16
0.0824703,16
0.0807627,16
0.079407,17
0.0776916,17
0.0761306,17
0.0755726,17
0.0714735,18
0.0673992,18
0.0644398,18
0.0620522,18
0.0590057,19
0.0581243,19
0.0592324,19
0.0593774,19
0.0560148,20
0.052026,20
0.0493993,20
0.0493043,20
0.0490496,21
0.0489967,21
0.0499566,21
0.0487151,21
0.0492593,22
0.0404363,22
0.0408356,22
0.0408857,23
0.0316552,23
0.0269854,23
0.0245304,23
0.0255188,24
0.0309083,24
0.0264041,24
0.0318722,24
0.0321549,25
0.0351831,25
0.0387425,25
0.0423949,25
0.0392514,25
0.0421284,26
0.0389074,26
0.0392332,26
0.0392332,26
0.0339741,26
0.0288832,27
0.0273639,27
0.0250279,27
0.0234181,27
0.0255993,28
0.0194839,28
0.0185127,28
0.0221518,28
0.0215443,29
0.0231582,29
0.0290953,29
0.0242828,29
0.0243353,30
0.0306546,30
0.0313041,30
0.0336476,30
0.0312875,30
0.0335974,31
0.0351398,31
0.0407049,31
0.0476659,31
0.0512147,32
0.059317,32
0.0580659,32
0.0593448,32
0.0530279,32
0.0515814,33
0.0494616,33
0.0495125,33
0.0501777,33
0.0491296,34
0.0497567,34
0.0502783,34
0.0520382,34
0.0581485,35
0.0652669,35
0.0703389,35
0.0731602,35
0.073053,36
0.0731545,36
0.0733178,36
0.0745317,36
0.0750006,37
0.0781302,37
0.0880029,37
0.100226,37
0.102794,37
0.104408,38
0.108014,38
0.110201,38
0.106709,38
0.106828,39
0.105707,39
0.109032,39
0.109319,39
0.113952,40
0.114957,40
0.115981,40
0.122938,41
0.128739,41
0.129696,41
0.12992,41
0.130635,42
0.132672,42
0.132899,42
0.132825,42
0.13156,43
0.133059,43
0.135317,43
0.141047,43
0.153231,44
0.159162,44
0.16314,44
0.161979,44
0.161579,45
0.16317,45
0.161888,45
0.159233,45
0.15836,46
0.159904,46
0.156679,46
0.156022,46
0.155691,47
0.155337,47
0.155858,47
0.156902,47
0.157357,47
0.158369,48
0.157399,48
0.158411,48
0.159208,48
0.162597,49
0.144038,2
0.146252,2
0.14942,2
0.149334,3
0.148157,3
0.147114,3
0.147077,3
0.148154,3
0.147347,4
0.148334,4
0.151125,4
0.154101,4
0.153231,5
0.149866,5
0.146231,5
0.140632,5
0.136599,6
0.136623,6
0.135541,6
0.138663,6
0.137578,7
0.136079,7
0.131664,7
0.128503,7
0.12504,8
0.126008,8
0.123434,8
0.123543,8
0.123262,8
0.123328,9
0.12011,9
0.115472,9
