x,y,z
-2.64991,-3.76927,-2.64991
-2.64991,-3.76927,-2.64991
-2.65746,-3.75815,-2.65746
-2.65746,-3.76927,-2.65746
-2.65746,-3.76927,-2.65746
-2.65746,-3.76927,-2.65746
-2.66501,-3.76927,-2.66501
-2.66501,-3.76927,-2.66501
-2.66501,-3.76927,-2.66501
-2.66501,-3.75815,-2.66501
-2.65746,-3.75815,-2.65746
-2.65746,-3.75815,-2.65746
-2.65746,-3.75815,-2.65746
-2.64991,-3.76927,-2.64991
-2.64236,-3.76927,-2.64236
-2.63481,-3.76927,-2.63481
-2.63481,-3.76927,-2.63481
-2.63481,-3.76927,-2.63481
-2.62727,-3.76927,-2.62727
-2.61972,-3.76927,-2.61972
-2.61972,-3.76927,-2.61972
-2.61217,-3.76927,-2.61217
-2.60462,-3.76927,-2.60462
-2.60462,-3.76927,-2.60462
-2.59707,-3.76927,-2.59707
-2.59707,-3.75815,-2.59707
-2.58952,-3.75815,-2.58952
-2.58197,-3.75815,-2.58197
-2.57442,-3.76927,-2.57442
-2.56687,-3.76927,-2.56687
-2.56687,-3.76927,-2.56687
-2.55932,-3.76927,-2.55932
-2.55932,-3.76927,-2.55932
-2.55177,-3.78039,-2.55177
-2.54422,-3.78039,-2.54422
-2.54422,-3.78039,-2.54422
-2.53667,-3.78039,-2.53667
-2.52912,-3.79151,-2.52912
-2.52912,-3.79151,-2.52912
-2.52157,-3.79151,-2.52157
-2.51402,-3.79151,-2.51402
-2.50647,-3.79151,-2.50647
-2.50647,-3.78039,-2.50647
-2.49892,-3.79151,-2.49892
-2.49137,-3.79151,-2.49137
-2.48382,-3.79151,-2.48382
-2.47627,-3.80263,-2.47627
-2.46117,-3.80263,-2.46117
-2.45362,-3.80263,-2.45362
-2.44607,-3.80263,-2.44607
-2.43852,-3.80263,-2.43852
-2.42343,-3.81375,-2.42343
-2.42343,-3.81375,-2.42343
-2.41588,-3.81375,-2.41588
-2.41588,-3.81375,-2.41588
-2.40833,-3.82487,-2.40833
-2.40833,-3.82487,-2.40833
-2.39323,-3.82487,-2.39323
-2.39323,-3.82487,-2.39323
-2.38568,-3.83599,-2.38568
-2.38568,-3.83599,-2.38568
-2.38568,-3.83599,-2.38568
-2.38568,-3.83599,-2.38568
-2.38568,-3.83599,-2.38568
-2.38568,-3.83599,-2.38568
-2.38568,-3.8471,-2.38568
-2.38568,-3.8471,-2.38568
-2.39323,-3.8471,-2.39323
-2.39323,-3.8471,-2.39323
-2.40078,-3.8471,-2.40078
-2.40078,-3.8471,-2.40078
-2.40833,-3.8471,-2.40833
-2.41588,-3.83599,-2.41588
-2.41588,-3.83599,-2.41588
-2.43097,-3.82487,-2.43097
-2.43852,-3.82487,-2.43852
-2.43852,-3.81375,-2.43852
-2.43852,-3.80263,-2.43852
-2.44607,-3.80263,-2.44607
-2.45362,-3.80263,-2.45362
-2.46117,-3.79151,-2.46117
-2.46117,-3.78039,-2.46117
-2.46872,-3.78039,-2.46872
-2.47627,-3.78039,-2.47627
-2.48382,-3.76927,-2.48382
-2.48382,-3.76927,-2.48382
-2.48382,-3.76927,-2.48382
-2.48382,-3.75815,-2.48382
-2.48382,-3.75815,-2.48382
-2.49137,-3.75815,-2.49137
-2.49137,-3.76927,-2.49137
-2.49892,-3.78039,-2.49892
-2.50647,-3.80263,-2.50647
-2.51402,-3.82487,-2.51402
-2.52157,-3.85822,-2.52157
-2.52912,-3.88046,-2.52912
-2.54422,-3.91382,-2.54422
-2.56687,-3.94717,-2.56687
-2.58197,-3.96941,-2.58197
-2.60462,-3.99165,-2.60462
-2.62726,-4.00277,-2.62726
-2.64991,-4.01389,-2.64991
-2.67256,-4.01389,-2.67256
-2.68766,-4.01389,-2.68766
-2.71031,-4.00277,-2.71031
-2.73296,-3.99165,-2.73296
-2.74806,-3.98053,-2.74806
-2.77071,-3.95829,-2.77071
-2.79336,-3.92493,-2.79336
-2.816,-3.9027,-2.816
-2.8311,-3.88046,-2.8311
-2.8462,-3.85822,-2.8462
-2.85375,-3.82487,-2.85375
-2.86885,-3.79151,-2.86885
-2.88395,-3.75815,-2.88395
-2.89905,-3.7248,-2.89905
-2.89905,-3.69144,-2.89905
-2.89905,-3.65808,-2.89905
-2.8915,-3.61361,-2.8915
-2.88395,-3.58025,-2.88395
-2.86885,-3.5469,-2.86885
-2.8462,-3.52466,-2.8462
-2.82355,-3.50242,-2.82355
-2.79336,-3.48018,-2.79336
-2.76316,-3.46906,-2.76316
-2.73296,-3.45795,-2.73296
-2.69521,-3.45795,-2.69521
-2.66501,-3.46906,-2.66501
-2.62726,-3.46906,-2.62726
