x,y,z
-2.66501,-3.73592,5.222
-2.66501,-3.73592,5.222
-2.66501,-3.73592,5.223
-2.66501,-3.73592,5.222
-2.66501,-3.73592,5.222
-2.67256,-3.73592,5.221
-2.67256,-3.73592,5.223
-2.67256,-3.74704,5.216
-2.67256,-3.73592,5.186
-2.66501,-3.7248,5.153
-2.66501,-3.7248,5.115
-2.66501,-3.7248,5.078
-2.66501,-3.7248,5.04
-2.66501,-3.71368,5.005
-2.66501,-3.71368,4.969
-2.66501,-3.71368,4.933
-2.66501,-3.71368,4.896
-2.66501,-3.71368,4.861
-2.66501,-3.71368,4.823
-2.66501,-3.71368,4.791
-2.65746,-3.70256,4.756
-2.65746,-3.70256,4.723
-2.65746,-3.69144,4.689
-2.65746,-3.68032,4.653
-2.65746,-3.6692,4.615
-2.65746,-3.65809,4.58
-2.65746,-3.65809,4.546
-2.64991,-3.64697,4.511
-2.64236,-3.63585,4.476
-2.64236,-3.62473,4.442
-2.64236,-3.62473,4.406
-2.64236,-3.61361,4.374
-2.64236,-3.61361,4.339
-2.63481,-3.60249,4.305
-2.64236,-3.60249,4.274
-2.64236,-3.60249,4.239
-2.64236,-3.59137,4.201
-2.63481,-3.59137,4.16
-2.63481,-3.59137,4.119
-2.63481,-3.59137,4.079
-2.63481,-3.58025,4.04
-2.63481,-3.59137,4
-2.62726,-3.59137,3.958
-2.62726,-3.59137,3.913
-2.62726,-3.59137,3.87
-2.62726,-3.59137,3.833
-2.61971,-3.60249,3.797
-2.61971,-3.60249,3.758
-2.61971,-3.60249,3.718
-2.61971,-3.61361,3.674
-2.61971,-3.61361,3.631
-2.61971,-3.61361,3.587
-2.61217,-3.62473,3.543
-2.61217,-3.62473,3.499
-2.60462,-3.62473,3.455
-2.60462,-3.63585,3.413
-2.59707,-3.63585,3.372
-2.58952,-3.64697,3.33
-2.58197,-3.64697,3.288
-2.57442,-3.65808,3.244
-2.57442,-3.6692,3.2
-2.56687,-3.6692,3.156
-2.56687,-3.68032,3.111
-2.55932,-3.68032,3.061
-2.55177,-3.68032,3.015
-2.54422,-3.68032,2.969
-2.53667,-3.68032,2.923
-2.52912,-3.69144,2.874
-2.51402,-3.69144,2.827
-2.50647,-3.69144,2.784
-2.49892,-3.69144,2.743
-2.49137,-3.69144,2.694
-2.48382,-3.70256,2.645
-2.47627,-3.70256,2.597
-2.46117,-3.70256,2.551
-2.46117,-3.70256,2.505
-2.45362,-3.71368,2.462
-2.44607,-3.70256,2.417
-2.43852,-3.69144,2.374
-2.43097,-3.69144,2.335
-2.41587,-3.69144,2.312
-2.41587,-3.70256,2.294
-2.40833,-3.7248,2.29
-2.40833,-3.74703,2.287
-2.40833,-3.76927,2.291
-2.41587,-3.79151,2.292
-2.42342,-3.80263,2.293
-2.43097,-3.82487,2.299
-2.44607,-3.8471,2.306
-2.46872,-3.85822,2.308
-2.49137,-3.88046,2.312
-2.51402,-3.9027,2.316
-2.53667,-3.92494,2.32
-2.56687,-3.93605,2.32
-2.59707,-3.95829,2.319
-2.62726,-3.96941,2.315
-2.65746,-3.96941,2.313
-2.69521,-3.96941,2.31
-2.72541,-3.96941,2.309
-2.75561,-3.95829,2.307
-2.79336,-3.94717,2.306
-2.816,-3.92493,2.303
