Path centered at: WORLD FRAME [0.00262464, 0.00262464], DRONE FRAME [-2.66239,-3.76665]
-----PARAMETERS-----
n_spiral (max) = 2
layer_height = 0.1
--------------------
Starting at 2.96899m
Ending at 3.57079m
Depth = 0.601794m (40%)
Layer 0 radius: 0.13429
Layer 1 radius: 0.334777
Layer 2 radius: 0.429966
Layer 3 radius: 0.460842
Layer 4 radius: 0.492816
Layer 5 radius: 0.519484
Layer 6 radius: 0.553661
0 [-2.46239, -3.76665, 2.96899]
1 [-2.46403, -3.79222, 2.96899]
2 [-2.46893, -3.81738, 2.96899]
3 [-2.47701, -3.8417, 2.96899]
4 [-2.48812, -3.86479, 2.96899]
5 [-2.50211, -3.88627, 2.96899]
6 [-2.51872, -3.90579, 2.96899]
7 [-2.53769, -3.92302, 2.96899]
8 [-2.55871, -3.93768, 2.96899]
9 [-2.58143, -3.94953, 2.96899]
10 [-2.60548, -3.95838, 2.96899]
11 [-2.63047, -3.96409, 2.96899]
12 [-2.65598, -3.96655, 2.96899]
13 [-2.68159, -3.96572, 2.96899]
14 [-2.70689, -3.96163, 2.96899]
15 [-2.73146, -3.95434, 2.96899]
16 [-2.7549, -3.94397, 2.96899]
17 [-2.77681, -3.93068, 2.96899]
18 [-2.79685, -3.9147, 2.96899]
19 [-2.81468, -3.89629, 2.96899]
20 [-2.83001, -3.87576, 2.96899]
21 [-2.84258, -3.85343, 2.96899]
22 [-2.8522, -3.82967, 2.96899]
23 [-2.8587, -3.80488, 2.96899]
24 [-2.86198, -3.77946, 2.96899]
25 [-2.86198, -3.75383, 2.96899]
26 [-2.8587, -3.72842, 2.96899]
27 [-2.8522, -3.70363, 2.96899]
28 [-2.84258, -3.67987, 2.96899]
29 [-2.83001, -3.65754, 2.96899]
30 [-2.81468, -3.637, 2.96899]
31 [-2.79685, -3.61859, 2.96899]
32 [-2.77681, -3.60261, 2.96899]
33 [-2.7549, -3.58933, 2.96899]
34 [-2.73146, -3.57896, 2.96899]
35 [-2.70689, -3.57166, 2.96899]
36 [-2.68159, -3.56757, 2.96899]
37 [-2.65598, -3.56675, 2.96899]
38 [-2.63047, -3.56921, 2.96899]
39 [-2.60548, -3.57492, 2.96899]
40 [-2.58143, -3.58377, 2.96899]
41 [-2.55871, -3.59562, 2.96899]
42 [-2.53769, -3.61028, 2.96899]
43 [-2.51872, -3.62751, 2.96899]
44 [-2.50211, -3.64703, 2.96899]
45 [-2.48812, -3.66851, 2.96899]
46 [-2.47701, -3.6916, 2.96899]
47 [-2.46893, -3.71592, 2.96899]
48 [-2.46403, -3.74107, 2.96899]
49 [-2.46239, -3.76665, 2.96899]
0 [-2.32761, -3.76665, 3.06899]
1 [-2.33036, -3.80946, 3.06899]
2 [-2.33856, -3.85157, 3.06899]
3 [-2.35208, -3.89228, 3.06899]
4 [-2.37069, -3.93093, 3.06899]
5 [-2.39409, -3.96688, 3.06899]
6 [-2.4219, -3.99955, 3.06899]
7 [-2.45366, -4.02839, 3.06899]
8 [-2.48884, -4.05293, 3.06899]
9 [-2.52688, -4.07277, 3.06899]
10 [-2.56714, -4.08759, 3.06899]
11 [-2.60896, -4.09713, 3.06899]
12 [-2.65166, -4.10125, 3.06899]
13 [-2.69454, -4.09988, 3.06899]
14 [-2.73688, -4.09303, 3.06899]
15 [-2.77801, -4.08083, 3.06899]
16 [-2.81724, -4.06346, 3.06899]
17 [-2.85392, -4.04122, 3.06899]
18 [-2.88746, -4.01448, 3.06899]
19 [-2.9173, -3.98366, 3.06899]
20 [-2.94296, -3.94928, 3.06899]
21 [-2.96401, -3.9119, 3.06899]
22 [-2.98011, -3.87214, 3.06899]
23 [-2.99099, -3.83064, 3.06899]
24 [-2.99648, -3.7881, 3.06899]
25 [-2.99648, -3.7452, 3.06899]
26 [-2.99099, -3.70265, 3.06899]
27 [-2.98011, -3.66116, 3.06899]
28 [-2.96401, -3.62139, 3.06899]
29 [-2.94296, -3.58402, 3.06899]
30 [-2.9173, -3.54964, 3.06899]
31 [-2.88746, -3.51882, 3.06899]
32 [-2.85392, -3.49207, 3.06899]
33 [-2.81724, -3.46984, 3.06899]
34 [-2.77801, -3.45247, 3.06899]
35 [-2.73688, -3.44027, 3.06899]
36 [-2.69453, -3.43342, 3.06899]
37 [-2.65166, -3.43204, 3.06899]
38 [-2.60896, -3.43616, 3.06899]
39 [-2.56714, -3.44571, 3.06899]
40 [-2.52688, -3.46052, 3.06899]
41 [-2.48884, -3.48037, 3.06899]
42 [-2.45366, -3.50491, 3.06899]
43 [-2.4219, -3.53375, 3.06899]
44 [-2.39409, -3.56642, 3.06899]
45 [-2.37069, -3.60237, 3.06899]
46 [-2.35208, -3.64102, 3.06899]
47 [-2.33856, -3.68173, 3.06899]
48 [-2.33036, -3.72384, 3.06899]
49 [-2.32761, -3.76665, 3.06899]
0 [-2.23242, -3.76665, 3.16899]
1 [-2.23595, -3.82163, 3.16899]
2 [-2.24648, -3.87571, 3.16899]
3 [-2.26385, -3.928, 3.16899]
4 [-2.28775, -3.97764, 3.16899]
5 [-2.31781, -4.02382, 3.16899]
6 [-2.35352, -4.06577, 3.16899]
7 [-2.39431, -4.10281, 3.16899]
8 [-2.4395, -4.13433, 3.16899]
9 [-2.48835, -4.15982, 3.16899]
10 [-2.54005, -4.17884, 3.16899]
11 [-2.59377, -4.1911, 3.16899]
12 [-2.64861, -4.19639, 3.16899]
13 [-2.70368, -4.19463, 3.16899]
14 [-2.75806, -4.18583, 3.16899]
15 [-2.81088, -4.17016, 3.16899]
16 [-2.86126, -4.14786, 3.16899]
17 [-2.90838, -4.1193, 3.16899]
18 [-2.95146, -4.08494, 3.16899]
19 [-2.98978, -4.04536, 3.16899]
20 [-3.02274, -4.00121, 3.16899]
21 [-3.04977, -3.9532, 3.16899]
22 [-3.07045, -3.90213, 3.16899]
23 [-3.08443, -3.84884, 3.16899]
24 [-3.09147, -3.7942, 3.16899]
25 [-3.09147, -3.7391, 3.16899]
26 [-3.08443, -3.68446, 3.16899]
27 [-3.07045, -3.63116, 3.16899]
28 [-3.04977, -3.58009, 3.16899]
29 [-3.02274, -3.53209, 3.16899]
30 [-2.98978, -3.48793, 3.16899]
31 [-2.95146, -3.44835, 3.16899]
32 [-2.90838, -3.414, 3.16899]
33 [-2.86126, -3.38544, 3.16899]
34 [-2.81088, -3.36314, 3.16899]
35 [-2.75806, -3.34746, 3.16899]
36 [-2.70368, -3.33867, 3.16899]
37 [-2.64861, -3.3369, 3.16899]
38 [-2.59377, -3.34219, 3.16899]
39 [-2.54005, -3.35445, 3.16899]
40 [-2.48835, -3.37348, 3.16899]
41 [-2.4395, -3.39897, 3.16899]
42 [-2.39431, -3.43049, 3.16899]
43 [-2.35352, -3.46753, 3.16899]
44 [-2.31781, -3.50948, 3.16899]
45 [-2.28775, -3.55566, 3.16899]
46 [-2.26385, -3.6053, 3.16899]
47 [-2.24648, -3.65759, 3.16899]
48 [-2.23595, -3.71167, 3.16899]
49 [-2.23242, -3.76665, 3.16899]
0 [-2.20155, -3.76665, 3.26899]
1 [-2.20533, -3.82558, 3.26899]
2 [-2.21662, -3.88354, 3.26899]
3 [-2.23523, -3.93959, 3.26899]
4 [-2.26085, -3.99279, 3.26899]
5 [-2.29306, -4.04228, 3.26899]
6 [-2.33134, -4.08725, 3.26899]
7 [-2.37506, -4.12695, 3.26899]
8 [-2.42349, -4.16073, 3.26899]
9 [-2.47585, -4.18805, 3.26899]
10 [-2.53127, -4.20844, 3.26899]
11 [-2.58884, -4.22158, 3.26899]
12 [-2.64762, -4.22725, 3.26899]
13 [-2.70664, -4.22536, 3.26899]
14 [-2.76494, -4.21594, 3.26899]
15 [-2.82155, -4.19913, 3.26899]
16 [-2.87555, -4.17523, 3.26899]
17 [-2.92604, -4.14462, 3.26899]
18 [-2.97221, -4.1078, 3.26899]
19 [-3.01329, -4.06538, 3.26899]
20 [-3.04861, -4.01805, 3.26899]
21 [-3.07759, -3.9666, 3.26899]
22 [-3.09975, -3.91186, 3.26899]
23 [-3.11473, -3.85474, 3.26899]
24 [-3.12228, -3.79618, 3.26899]
25 [-3.12228, -3.73712, 3.26899]
26 [-3.11473, -3.67855, 3.26899]
27 [-3.09975, -3.62143, 3.26899]
28 [-3.07759, -3.5667, 3.26899]
29 [-3.04861, -3.51524, 3.26899]
30 [-3.01329, -3.46792, 3.26899]
31 [-2.97221, -3.4255, 3.26899]
32 [-2.92604, -3.38868, 3.26899]
33 [-2.87555, -3.35807, 3.26899]
34 [-2.82155, -3.33416, 3.26899]
35 [-2.76494, -3.31736, 3.26899]
36 [-2.70664, -3.30794, 3.26899]
37 [-2.64762, -3.30604, 3.26899]
38 [-2.58884, -3.31171, 3.26899]
39 [-2.53127, -3.32485, 3.26899]
40 [-2.47585, -3.34525, 3.26899]
41 [-2.42349, -3.37256, 3.26899]
42 [-2.37506, -3.40635, 3.26899]
43 [-2.33134, -3.44605, 3.26899]
44 [-2.29306, -3.49101, 3.26899]
45 [-2.26085, -3.54051, 3.26899]
46 [-2.23523, -3.59371, 3.26899]
47 [-2.21662, -3.64975, 3.26899]
48 [-2.20533, -3.70772, 3.26899]
49 [-2.20155, -3.76665, 3.26899]
0 [-2.16957, -3.76665, 3.36899]
1 [-2.17362, -3.82967, 3.36899]
2 [-2.18569, -3.89165, 3.36899]
3 [-2.20559, -3.95159, 3.36899]
4 [-2.23299, -4.00848, 3.36899]
5 [-2.26744, -4.06141, 3.36899]
6 [-2.30837, -4.10949, 3.36899]
7 [-2.35512, -4.15195, 3.36899]
