Path centered at: WORLD FRAME [0.00282129, 0.00282129], DRONE FRAME [-2.71504,-3.7331]
-----PARAMETERS-----
n_spiral (max) = 3
layer_height = 0.1
--------------------
Starting at 3.15132m
Ending at 3.99266m
Depth = 0.841344m (40%)
Layer 0 radius: 0.148103
Layer 1 radius: 0.348826
Layer 2 radius: 0.448432
Layer 3 radius: 0.480373
Layer 4 radius: 0.506536
Layer 5 radius: 0.540425
Layer 6 radius: 0.567961
Layer 7 radius: 0.596635
Layer 8 radius: 0.619565
0 [-2.51504, -3.7331, 3.15132]
1 [-2.51668, -3.75867, 3.15132]
2 [-2.52158, -3.78383, 3.15132]
3 [-2.52966, -3.80815, 3.15132]
4 [-2.54078, -3.83124, 3.15132]
5 [-2.55476, -3.85272, 3.15132]
6 [-2.57137, -3.87223, 3.15132]
7 [-2.59034, -3.88946, 3.15132]
8 [-2.61136, -3.90412, 3.15132]
9 [-2.63408, -3.91598, 3.15132]
10 [-2.65813, -3.92483, 3.15132]
11 [-2.68312, -3.93053, 3.15132]
12 [-2.70863, -3.93299, 3.15132]
13 [-2.73424, -3.93217, 3.15132]
14 [-2.75954, -3.92808, 3.15132]
15 [-2.78411, -3.92079, 3.15132]
16 [-2.80755, -3.91042, 3.15132]
17 [-2.82946, -3.89713, 3.15132]
18 [-2.8495, -3.88115, 3.15132]
19 [-2.86733, -3.86274, 3.15132]
20 [-2.88266, -3.8422, 3.15132]
21 [-2.89523, -3.81987, 3.15132]
22 [-2.90485, -3.79612, 3.15132]
23 [-2.91135, -3.77133, 3.15132]
24 [-2.91463, -3.74591, 3.15132]
25 [-2.91463, -3.72028, 3.15132]
26 [-2.91135, -3.69486, 3.15132]
27 [-2.90485, -3.67007, 3.15132]
28 [-2.89523, -3.64632, 3.15132]
29 [-2.88266, -3.62399, 3.15132]
30 [-2.86733, -3.60345, 3.15132]
31 [-2.8495, -3.58504, 3.15132]
32 [-2.82946, -3.56906, 3.15132]
33 [-2.80755, -3.55578, 3.15132]
34 [-2.78411, -3.5454, 3.15132]
35 [-2.75954, -3.53811, 3.15132]
36 [-2.73424, -3.53402, 3.15132]
37 [-2.70863, -3.5332, 3.15132]
38 [-2.68312, -3.53566, 3.15132]
39 [-2.65813, -3.54136, 3.15132]
40 [-2.63408, -3.55021, 3.15132]
41 [-2.61136, -3.56207, 3.15132]
42 [-2.59034, -3.57673, 3.15132]
43 [-2.57137, -3.59396, 3.15132]
44 [-2.55476, -3.61347, 3.15132]
45 [-2.54078, -3.63495, 3.15132]
46 [-2.52966, -3.65804, 3.15132]
47 [-2.52158, -3.68236, 3.15132]
48 [-2.51668, -3.70752, 3.15132]
49 [-2.51504, -3.7331, 3.15132]
0 [-2.36621, -3.7331, 3.25132]
1 [-2.36908, -3.7777, 3.25132]
2 [-2.37762, -3.82158, 3.25132]
3 [-2.39171, -3.864, 3.25132]
4 [-2.4111, -3.90427, 3.25132]
5 [-2.43549, -3.94173, 3.25132]
6 [-2.46446, -3.97577, 3.25132]
7 [-2.49755, -4.00582, 3.25132]
8 [-2.53421, -4.03139, 3.25132]
9 [-2.57384, -4.05207, 3.25132]
10 [-2.61579, -4.0675, 3.25132]
11 [-2.65937, -4.07745, 3.25132]
12 [-2.70386, -4.08174, 3.25132]
13 [-2.74853, -4.08031, 3.25132]
14 [-2.79266, -4.07318, 3.25132]
15 [-2.83551, -4.06046, 3.25132]
16 [-2.87638, -4.04237, 3.25132]
17 [-2.91461, -4.01919, 3.25132]
18 [-2.94956, -3.99132, 3.25132]
19 [-2.98065, -3.95921, 3.25132]
20 [-3.00739, -3.92339, 3.25132]
21 [-3.02932, -3.88445, 3.25132]
22 [-3.04609, -3.84301, 3.25132]
23 [-3.05743, -3.79978, 3.25132]
24 [-3.06315, -3.75545, 3.25132]
25 [-3.06315, -3.71075, 3.25132]
26 [-3.05743, -3.66641, 3.25132]
27 [-3.04609, -3.62318, 3.25132]
28 [-3.02932, -3.58175, 3.25132]
29 [-3.00739, -3.5428, 3.25132]
30 [-2.98065, -3.50698, 3.25132]
31 [-2.94956, -3.47487, 3.25132]
32 [-2.91461, -3.447, 3.25132]
33 [-2.87638, -3.42383, 3.25132]
34 [-2.83551, -3.40573, 3.25132]
35 [-2.79266, -3.39302, 3.25132]
36 [-2.74853, -3.38588, 3.25132]
37 [-2.70386, -3.38445, 3.25132]
38 [-2.65937, -3.38874, 3.25132]
39 [-2.61579, -3.39869, 3.25132]
40 [-2.57384, -3.41412, 3.25132]
41 [-2.53421, -3.4348, 3.25132]
42 [-2.49755, -3.46037, 3.25132]
43 [-2.46446, -3.49042, 3.25132]
44 [-2.43549, -3.52446, 3.25132]
45 [-2.4111, -3.56192, 3.25132]
46 [-2.39171, -3.60219, 3.25132]
47 [-2.37762, -3.64461, 3.25132]
48 [-2.36908, -3.68849, 3.25132]
49 [-2.36621, -3.7331, 3.25132]
50 [-2.36621, -3.7331, 3.25132]
51 [-2.37192, -3.77644, 3.25132]
52 [-2.38294, -3.81837, 3.25132]
53 [-2.39901, -3.85822, 3.25132]
54 [-2.41979, -3.89541, 3.25132]
55 [-2.44487, -3.92938, 3.25132]
56 [-2.47377, -3.95966, 3.25132]
57 [-2.50597, -3.98582, 3.25132]
58 [-2.54089, -4.00751, 3.25132]
59 [-2.57792, -4.02448, 3.25132]
60 [-2.61644, -4.03654, 3.25132]
61 [-2.65581, -4.04358, 3.25132]
62 [-2.69538, -4.04559, 3.25132]
63 [-2.73451, -4.04262, 3.25132]
64 [-2.77259, -4.03481, 3.25132]
65 [-2.80904, -4.02239, 3.25132]
66 [-2.84328, -4.00563, 3.25132]
67 [-2.87484, -3.9849, 3.25132]
68 [-2.90324, -3.96059, 3.25132]
69 [-2.9281, -3.93317, 3.25132]
70 [-2.94908, -3.90314, 3.25132]
71 [-2.96594, -3.87103, 3.25132]
72 [-2.97848, -3.8374, 3.25132]
73 [-2.9866, -3.80282, 3.25132]
74 [-2.99024, -3.76786, 3.25132]
75 [-2.98945, -3.7331, 3.25132]
76 [-2.98434, -3.69908, 3.25132]
77 [-2.97507, -3.66633, 3.25132]
78 [-2.96188, -3.63536, 3.25132]
79 [-2.94508, -3.60663, 3.25132]
80 [-2.925, -3.58055, 3.25132]
81 [-2.90206, -3.55747, 3.25132]
82 [-2.87668, -3.53771, 3.25132]
83 [-2.84932, -3.52151, 3.25132]
84 [-2.82047, -3.50904, 3.25132]
85 [-2.79064, -3.50042, 3.25132]
86 [-2.76032, -3.49571, 3.25132]
87 [-2.73003, -3.49487, 3.25132]
88 [-2.70024, -3.49784, 3.25132]
89 [-2.67143, -3.50448, 3.25132]
90 [-2.64404, -3.51458, 3.25132]
91 [-2.61848, -3.52789, 3.25132]
92 [-2.59511, -3.54413, 3.25132]
93 [-2.57427, -3.56294, 3.25132]
94 [-2.55623, -3.58396, 3.25132]
95 [-2.5412, -3.60679, 3.25132]
96 [-2.52934, -3.63101, 3.25132]
97 [-2.52078, -3.65618, 3.25132]
98 [-2.51556, -3.68188, 3.25132]
99 [-2.51366, -3.70766, 3.25132]
0 [-2.26661, -3.7331, 3.35132]
1 [-2.27029, -3.79044, 3.35132]
2 [-2.28127, -3.84684, 3.35132]
3 [-2.29938, -3.90138, 3.35132]
4 [-2.32431, -3.95315, 3.35132]
5 [-2.35566, -4.00131, 3.35132]
6 [-2.39291, -4.04506, 3.35132]
7 [-2.43545, -4.08369, 3.35132]
8 [-2.48258, -4.11657, 3.35132]
9 [-2.53352, -4.14315, 3.35132]
10 [-2.58745, -4.16299, 3.35132]
11 [-2.64347, -4.17578, 3.35132]
12 [-2.70067, -4.1813, 3.35132]
13 [-2.7581, -4.17946, 3.35132]
14 [-2.81482, -4.17028, 3.35132]
15 [-2.86991, -4.15393, 3.35132]
16 [-2.92246, -4.13068, 3.35132]
17 [-2.97159, -4.10089, 3.35132]
18 [-3.01652, -4.06506, 3.35132]
19 [-3.0565, -4.02378, 3.35132]
20 [-3.09086, -3.97773, 3.35132]
21 [-3.11906, -3.92766, 3.35132]
22 [-3.14063, -3.8744, 3.35132]
23 [-3.1552, -3.81882, 3.35132]
24 [-3.16255, -3.76183, 3.35132]
25 [-3.16255, -3.70436, 3.35132]
26 [-3.1552, -3.64737, 3.35132]
27 [-3.14063, -3.59179, 3.35132]
28 [-3.11906, -3.53853, 3.35132]
29 [-3.09086, -3.48846, 3.35132]
30 [-3.0565, -3.44241, 3.35132]
31 [-3.01652, -3.40113, 3.35132]
32 [-2.97159, -3.3653, 3.35132]
33 [-2.92246, -3.33552, 3.35132]
34 [-2.86991, -3.31226, 3.35132]
35 [-2.81482, -3.29591, 3.35132]
36 [-2.7581, -3.28674, 3.35132]
37 [-2.70067, -3.28489, 3.35132]
38 [-2.64347, -3.29041, 3.35132]
39 [-2.58745, -3.3032, 3.35132]
40 [-2.53352, -3.32304, 3.35132]
41 [-2.48258, -3.34962, 3.35132]
42 [-2.43545, -3.3825, 3.35132]
43 [-2.39291, -3.42113, 3.35132]
44 [-2.35566, -3.46488, 3.35132]
45 [-2.32431, -3.51304, 3.35132]
46 [-2.29938, -3.56481, 3.35132]
47 [-2.28127, -3.61935, 3.35132]
48 [-2.27029, -3.67575, 3.35132]
49 [-2.26661, -3.7331, 3.35132]
50 [-2.26661, -3.7331, 3.35132]
51 [-2.28551, -3.84338, 3.35132]
52 [-2.33078, -3.94434, 3.35132]
53 [-2.39901, -4.02987, 3.35132]
54 [-2.48541, -4.09494, 3.35132]
55 [-2.58414, -4.13595, 3.35132]
