x,y,z
-2.53667,-4.13619,-2.53667
-2.56687,-4.14731,-2.56687
-2.58952,-4.14731,-2.58952
-2.61971,-4.15843,-2.61971
-2.64236,-4.15843,-2.64236
-2.67256,-4.16955,-2.67256
-2.69521,-4.16955,-2.69521
-2.71786,-4.16955,-2.71786
-2.74051,-4.15843,-2.74051
-2.77071,-4.15843,-2.77071
-2.8009,-4.15843,-2.8009
-2.8311,-4.14731,-2.8311
-2.8613,-4.13619,-2.8613
-2.89905,-4.12507,-2.89905
-2.9217,-4.10284,-2.9217
-2.9519,-4.0806,-2.9519
-2.97455,-4.04724,-2.97455
-2.99719,-4.025,-2.99719
-3.01229,-3.98053,-3.01229
-3.03494,-3.95829,-3.03494
-3.05004,-3.91382,-3.05004
-3.06514,-3.88046,-3.06514
-3.08024,-3.83598,-3.08024
-3.09534,-3.80263,-3.09534
-3.10289,-3.76927,-3.10289
-3.11044,-3.73591,-3.11044
-3.11044,-3.69144,-3.11044
-3.10289,-3.63585,-3.10289
-3.09534,-3.60249,-3.09534
-3.08779,-3.55801,-3.08779
-3.08024,-3.52466,-3.08024
-3.06514,-3.48018,-3.06514
-3.05004,-3.44683,-3.05004
-3.02739,-3.41347,-3.02739
-2.99719,-3.39123,-2.99719
-2.967,-3.35788,-2.967
-2.9368,-3.33564,-2.9368
-2.89905,-3.32452,-2.89905
-2.86885,-3.30228,-2.86885
-2.8311,-3.29116,-2.8311
-2.79335,-3.28004,-2.79335
-2.75561,-3.28004,-2.75561
-2.71786,-3.26893,-2.71786
-2.68011,-3.26893,-2.68011
-2.64236,-3.25781,-2.64236
-2.60461,-3.24669,-2.60461
-2.58197,-3.24669,-2.58197
-2.55177,-3.24669,-2.55177
-2.52157,-3.25781,-2.52157
-2.49892,-3.25781,-2.49892
-2.47627,-3.26893,-2.47627
-2.45362,-3.28004,-2.45362
-2.43097,-3.29116,-2.43097
-2.40832,-3.3134,-2.40832
-2.39323,-3.33564,-2.39323
-2.37058,-3.34676,-2.37058
-2.35548,-3.36899,-2.35548
-2.34793,-3.38011,-2.34793
-2.33283,-3.40235,-2.33283
-2.31773,-3.41347,-2.31773
-2.30263,-3.43571,-2.30263
-2.28753,-3.45795,-2.28753
-2.27998,-3.48018,-2.27998
-2.26488,-3.50242,-2.26488
-2.24978,-3.52466,-2.24978
-2.24223,-3.53578,-2.24223
-2.23468,-3.56913,-2.23468
-2.22713,-3.58025,-2.22713
-2.21958,-3.60249,-2.21958
-2.21958,-3.62473,-2.21958
-2.21958,-3.64696,-2.21958
-2.21958,-3.6692,-2.21958
-2.21958,-3.70256,-2.21958
-2.21958,-3.7248,-2.21958
-2.21204,-3.74703,-2.21204
-2.21204,-3.76927,-2.21204
-2.20449,-3.79151,-2.20449
-2.19694,-3.79151,-2.19694
-2.18184,-3.80263,-2.18184
-2.17429,-3.79151,-2.17429
-2.16674,-3.79151,-2.16674
-2.15919,-3.76927,-2.15919
-2.15919,-3.75815,-2.15919
-2.14409,-3.73592,-2.14409
-2.12899,-3.73592,-2.12899
-2.12899,-3.73592,-2.12899
-2.12144,-3.74703,-2.12144
-2.12144,-3.75815,-2.12144
-2.12144,-3.78039,-2.12144
-2.12144,-3.80263,-2.12144
-2.12144,-3.82487,-2.12144
